Sat Jun  8 21:26:02 2013, (0 clock):	Start log file
Sat Jun  8 21:26:02 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:26:02 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:26:02 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:26:02 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 22:34:06 2013, (3971790000 clock):	190000 evaluated; 0 wrong controls; 26221 violate mass constrain.
Sat Jun  8 22:34:28 2013, (3993240000 clock):	191000 evaluated; 0 wrong controls; 26322 violate mass constrain.
Sat Jun  8 22:34:49 2013, (4014390000 clock):	192000 evaluated; 0 wrong controls; 26426 violate mass constrain.
Sat Jun  8 22:35:10 2013, (4034840000 clock):	193000 evaluated; 0 wrong controls; 26566 violate mass constrain.
Sat Jun  8 22:35:32 2013, (4055750000 clock):	194000 evaluated; 0 wrong controls; 26709 violate mass constrain.
Sat Jun  8 22:35:54 2013, (4077270000 clock):	195000 evaluated; 0 wrong controls; 26824 violate mass constrain.
Sat Jun  8 22:36:16 2013, (4098510000 clock):	196000 evaluated; 0 wrong controls; 26965 violate mass constrain.
Sat Jun  8 22:36:38 2013, (4119850000 clock):	197000 evaluated; 0 wrong controls; 27086 violate mass constrain.
Sat Jun  8 22:36:59 2013, (4140340000 clock):	198000 evaluated; 0 wrong controls; 27231 violate mass constrain.
Sat Jun  8 22:37:21 2013, (4161560000 clock):	199000 evaluated; 0 wrong controls; 27362 violate mass constrain.
Sat Jun  8 22:37:42 2013, (4182700000 clock):	200000 evaluated; 0 wrong controls; 27496 violate mass constrain.
Sat Jun  8 22:38:04 2013, (4203560000 clock):	201000 evaluated; 0 wrong controls; 27624 violate mass constrain.
Sat Jun  8 22:38:25 2013, (4224120000 clock):	202000 evaluated; 0 wrong controls; 27753 violate mass constrain.
Sat Jun  8 22:38:46 2013, (4245190000 clock):	203000 evaluated; 0 wrong controls; 27912 violate mass constrain.
Sat Jun  8 22:39:09 2013, (4266750000 clock):	204000 evaluated; 0 wrong controls; 28045 violate mass constrain.
Sat Jun  8 22:39:31 2013, (4289140000 clock):	205000 evaluated; 0 wrong controls; 28168 violate mass constrain.
Sat Jun  8 22:39:53 2013, (4309820000 clock):	206000 evaluated; 0 wrong controls; 28295 violate mass constrain.
Sat Jun  8 22:40:14 2013, (4330800000 clock):	207000 evaluated; 0 wrong controls; 28420 violate mass constrain.
Sat Jun  8 22:40:36 2013, (4352000000 clock):	208000 evaluated; 0 wrong controls; 28534 violate mass constrain.
Sat Jun  8 22:40:59 2013, (4374070000 clock):	209000 evaluated; 0 wrong controls; 28650 violate mass constrain.
