Sat Jun  8 21:25:59 2013, (0 clock):	Start log file
Sat Jun  8 21:25:59 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:25:59 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:25:59 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:25:59 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 21:55:24 2013, (1696960000 clock):	88000 evaluated; 0 wrong controls; 21212 violate mass constrain.
Sat Jun  8 21:55:44 2013, (1716210000 clock):	89000 evaluated; 0 wrong controls; 21451 violate mass constrain.
Sat Jun  8 21:56:05 2013, (1736200000 clock):	90000 evaluated; 0 wrong controls; 21675 violate mass constrain.
Sat Jun  8 21:56:25 2013, (1755360000 clock):	91000 evaluated; 0 wrong controls; 21912 violate mass constrain.
Sat Jun  8 21:56:45 2013, (1774500000 clock):	92000 evaluated; 0 wrong controls; 22152 violate mass constrain.
Sat Jun  8 21:57:06 2013, (1794230000 clock):	93000 evaluated; 0 wrong controls; 22387 violate mass constrain.
Sat Jun  8 21:57:26 2013, (1813580000 clock):	94000 evaluated; 0 wrong controls; 22633 violate mass constrain.
Sat Jun  8 21:57:47 2013, (1833310000 clock):	95000 evaluated; 0 wrong controls; 22873 violate mass constrain.
Sat Jun  8 21:58:07 2013, (1852520000 clock):	96000 evaluated; 0 wrong controls; 23098 violate mass constrain.
Sat Jun  8 21:58:28 2013, (1872450000 clock):	97000 evaluated; 0 wrong controls; 23320 violate mass constrain.
Sat Jun  8 21:58:49 2013, (1892330000 clock):	98000 evaluated; 0 wrong controls; 23563 violate mass constrain.
Sat Jun  8 21:59:09 2013, (1911950000 clock):	99000 evaluated; 0 wrong controls; 23813 violate mass constrain.
