Tue Jul  2 12:48:38 2013, (0 clock):	Start log file
Tue Jul  2 12:48:38 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:38 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:38 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 13:11:10 2013, (1317870000 clock):	85000 evaluated; 0 wrong controls; 43818 violate mass constrain.
Tue Jul  2 13:11:27 2013, (1333860000 clock):	86000 evaluated; 0 wrong controls; 44262 violate mass constrain.
Tue Jul  2 13:11:40 2013, (1346750000 clock):	87000 evaluated; 0 wrong controls; 45163 violate mass constrain.
Tue Jul  2 13:11:50 2013, (1356760000 clock):	88000 evaluated; 0 wrong controls; 46065 violate mass constrain.
Tue Jul  2 13:12:00 2013, (1366130000 clock):	89000 evaluated; 0 wrong controls; 46955 violate mass constrain.
Tue Jul  2 13:12:10 2013, (1375900000 clock):	90000 evaluated; 0 wrong controls; 47832 violate mass constrain.
Tue Jul  2 13:12:22 2013, (1387240000 clock):	91000 evaluated; 0 wrong controls; 48616 violate mass constrain.
Tue Jul  2 13:12:40 2013, (1404620000 clock):	92000 evaluated; 0 wrong controls; 49026 violate mass constrain.
Tue Jul  2 13:12:57 2013, (1421600000 clock):	93000 evaluated; 0 wrong controls; 49355 violate mass constrain.
Tue Jul  2 13:13:16 2013, (1440030000 clock):	94000 evaluated; 0 wrong controls; 49609 violate mass constrain.
Tue Jul  2 13:13:34 2013, (1458100000 clock):	95000 evaluated; 0 wrong controls; 49885 violate mass constrain.
Tue Jul  2 13:13:51 2013, (1474340000 clock):	96000 evaluated; 0 wrong controls; 50270 violate mass constrain.
Tue Jul  2 13:14:01 2013, (1483600000 clock):	97000 evaluated; 0 wrong controls; 51177 violate mass constrain.
Tue Jul  2 13:14:12 2013, (1494910000 clock):	98000 evaluated; 0 wrong controls; 52009 violate mass constrain.
Tue Jul  2 13:14:33 2013, (1515270000 clock):	99000 evaluated; 0 wrong controls; 52161 violate mass constrain.
Tue Jul  2 13:14:53 2013, (1534510000 clock):	100000 evaluated; 0 wrong controls; 52337 violate mass constrain.
Tue Jul  2 13:15:13 2013, (1554920000 clock):	101000 evaluated; 0 wrong controls; 52475 violate mass constrain.
Tue Jul  2 13:15:33 2013, (1574520000 clock):	102000 evaluated; 0 wrong controls; 52634 violate mass constrain.
Tue Jul  2 13:15:52 2013, (1593200000 clock):	103000 evaluated; 0 wrong controls; 52832 violate mass constrain.
Tue Jul  2 13:16:13 2013, (1613560000 clock):	104000 evaluated; 0 wrong controls; 53016 violate mass constrain.
Tue Jul  2 13:16:31 2013, (1631440000 clock):	105000 evaluated; 0 wrong controls; 53240 violate mass constrain.
Tue Jul  2 13:16:50 2013, (1650080000 clock):	106000 evaluated; 0 wrong controls; 53474 violate mass constrain.
Tue Jul  2 13:17:00 2013, (1659760000 clock):	107000 evaluated; 0 wrong controls; 54368 violate mass constrain.
Tue Jul  2 13:17:11 2013, (1669660000 clock):	108000 evaluated; 0 wrong controls; 55282 violate mass constrain.
Tue Jul  2 13:17:21 2013, (1679950000 clock):	109000 evaluated; 0 wrong controls; 56162 violate mass constrain.
Tue Jul  2 13:17:31 2013, (1689460000 clock):	110000 evaluated; 0 wrong controls; 57038 violate mass constrain.
Tue Jul  2 13:17:41 2013, (1699060000 clock):	111000 evaluated; 0 wrong controls; 57915 violate mass constrain.
Tue Jul  2 13:17:52 2013, (1709840000 clock):	112000 evaluated; 0 wrong controls; 58767 violate mass constrain.
Tue Jul  2 13:18:05 2013, (1721730000 clock):	113000 evaluated; 0 wrong controls; 59519 violate mass constrain.
Tue Jul  2 13:18:20 2013, (1736620000 clock):	114000 evaluated; 0 wrong controls; 59973 violate mass constrain.
Tue Jul  2 13:18:37 2013, (1753880000 clock):	115000 evaluated; 0 wrong controls; 60326 violate mass constrain.
Tue Jul  2 13:18:56 2013, (1772380000 clock):	116000 evaluated; 0 wrong controls; 60619 violate mass constrain.
Tue Jul  2 13:19:08 2013, (1784190000 clock):	117000 evaluated; 0 wrong controls; 61493 violate mass constrain.
Tue Jul  2 13:19:19 2013, (1794110000 clock):	118000 evaluated; 0 wrong controls; 62386 violate mass constrain.
Tue Jul  2 13:19:29 2013, (1804100000 clock):	119000 evaluated; 0 wrong controls; 63236 violate mass constrain.
Tue Jul  2 13:19:40 2013, (1814320000 clock):	120000 evaluated; 0 wrong controls; 64096 violate mass constrain.
Tue Jul  2 13:19:56 2013, (1830180000 clock):	121000 evaluated; 0 wrong controls; 64484 violate mass constrain.
Tue Jul  2 13:20:15 2013, (1848990000 clock):	122000 evaluated; 0 wrong controls; 64693 violate mass constrain.
Tue Jul  2 13:20:34 2013, (1867770000 clock):	123000 evaluated; 0 wrong controls; 64924 violate mass constrain.
Tue Jul  2 13:20:52 2013, (1885550000 clock):	124000 evaluated; 0 wrong controls; 65154 violate mass constrain.
Tue Jul  2 13:21:11 2013, (1904150000 clock):	125000 evaluated; 0 wrong controls; 65393 violate mass constrain.
Tue Jul  2 13:21:29 2013, (1921880000 clock):	126000 evaluated; 0 wrong controls; 65654 violate mass constrain.
