Tue Jul  2 12:48:40 2013, (0 clock):	Start log file
Tue Jul  2 12:48:40 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:40 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:40 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 13:08:17 2013, (1129140000 clock):	115000 evaluated; 0 wrong controls; 107098 violate mass constrain.
Tue Jul  2 13:08:26 2013, (1138440000 clock):	116000 evaluated; 0 wrong controls; 108032 violate mass constrain.
Tue Jul  2 13:08:37 2013, (1148810000 clock):	117000 evaluated; 0 wrong controls; 108960 violate mass constrain.
Tue Jul  2 13:08:46 2013, (1157620000 clock):	118000 evaluated; 0 wrong controls; 109894 violate mass constrain.
Tue Jul  2 13:08:56 2013, (1166600000 clock):	119000 evaluated; 0 wrong controls; 110823 violate mass constrain.
Tue Jul  2 13:09:06 2013, (1176450000 clock):	120000 evaluated; 0 wrong controls; 111756 violate mass constrain.
Tue Jul  2 13:09:16 2013, (1186090000 clock):	121000 evaluated; 0 wrong controls; 112695 violate mass constrain.
Tue Jul  2 13:09:26 2013, (1195220000 clock):	122000 evaluated; 0 wrong controls; 113633 violate mass constrain.
Tue Jul  2 13:09:37 2013, (1205930000 clock):	123000 evaluated; 0 wrong controls; 114562 violate mass constrain.
Tue Jul  2 13:09:47 2013, (1215680000 clock):	124000 evaluated; 0 wrong controls; 115484 violate mass constrain.
Tue Jul  2 13:09:57 2013, (1226010000 clock):	125000 evaluated; 0 wrong controls; 116414 violate mass constrain.
Tue Jul  2 13:10:08 2013, (1235710000 clock):	126000 evaluated; 0 wrong controls; 117341 violate mass constrain.
Tue Jul  2 13:10:17 2013, (1244850000 clock):	127000 evaluated; 0 wrong controls; 118262 violate mass constrain.
Tue Jul  2 13:10:27 2013, (1254260000 clock):	128000 evaluated; 0 wrong controls; 119189 violate mass constrain.
Tue Jul  2 13:10:36 2013, (1262970000 clock):	129000 evaluated; 0 wrong controls; 120126 violate mass constrain.
Tue Jul  2 13:10:46 2013, (1272440000 clock):	130000 evaluated; 0 wrong controls; 121060 violate mass constrain.
Tue Jul  2 13:10:56 2013, (1281680000 clock):	131000 evaluated; 0 wrong controls; 122006 violate mass constrain.
Tue Jul  2 13:11:07 2013, (1292180000 clock):	132000 evaluated; 0 wrong controls; 122946 violate mass constrain.
Tue Jul  2 13:11:16 2013, (1301330000 clock):	133000 evaluated; 0 wrong controls; 123869 violate mass constrain.
Tue Jul  2 13:11:26 2013, (1311220000 clock):	134000 evaluated; 0 wrong controls; 124814 violate mass constrain.
Tue Jul  2 13:11:37 2013, (1321600000 clock):	135000 evaluated; 0 wrong controls; 125755 violate mass constrain.
Tue Jul  2 13:11:49 2013, (1332500000 clock):	136000 evaluated; 0 wrong controls; 126705 violate mass constrain.
Tue Jul  2 13:11:58 2013, (1341250000 clock):	137000 evaluated; 0 wrong controls; 127645 violate mass constrain.
Tue Jul  2 13:12:07 2013, (1350110000 clock):	138000 evaluated; 0 wrong controls; 128567 violate mass constrain.
Tue Jul  2 13:12:16 2013, (1359020000 clock):	139000 evaluated; 0 wrong controls; 129485 violate mass constrain.
Tue Jul  2 13:12:26 2013, (1367940000 clock):	140000 evaluated; 0 wrong controls; 130421 violate mass constrain.
Tue Jul  2 13:12:35 2013, (1376940000 clock):	141000 evaluated; 0 wrong controls; 131350 violate mass constrain.
Tue Jul  2 13:12:44 2013, (1385810000 clock):	142000 evaluated; 0 wrong controls; 132290 violate mass constrain.
Tue Jul  2 13:12:54 2013, (1394660000 clock):	143000 evaluated; 0 wrong controls; 133228 violate mass constrain.
Tue Jul  2 13:13:04 2013, (1404660000 clock):	144000 evaluated; 0 wrong controls; 134157 violate mass constrain.
Tue Jul  2 13:13:14 2013, (1414410000 clock):	145000 evaluated; 0 wrong controls; 135102 violate mass constrain.
Tue Jul  2 13:13:24 2013, (1423940000 clock):	146000 evaluated; 0 wrong controls; 136033 violate mass constrain.
Tue Jul  2 13:13:34 2013, (1433010000 clock):	147000 evaluated; 0 wrong controls; 136968 violate mass constrain.
Tue Jul  2 13:13:43 2013, (1441920000 clock):	148000 evaluated; 0 wrong controls; 137913 violate mass constrain.
Tue Jul  2 13:13:53 2013, (1451340000 clock):	149000 evaluated; 0 wrong controls; 138839 violate mass constrain.
Tue Jul  2 13:14:03 2013, (1461590000 clock):	150000 evaluated; 0 wrong controls; 139765 violate mass constrain.
Tue Jul  2 13:14:13 2013, (1470880000 clock):	151000 evaluated; 0 wrong controls; 140701 violate mass constrain.
Tue Jul  2 13:14:22 2013, (1479560000 clock):	152000 evaluated; 0 wrong controls; 141648 violate mass constrain.
Tue Jul  2 13:14:32 2013, (1488780000 clock):	153000 evaluated; 0 wrong controls; 142570 violate mass constrain.
Tue Jul  2 13:14:42 2013, (1498320000 clock):	154000 evaluated; 0 wrong controls; 143509 violate mass constrain.
Tue Jul  2 13:14:51 2013, (1507280000 clock):	155000 evaluated; 0 wrong controls; 144442 violate mass constrain.
Tue Jul  2 13:15:01 2013, (1517060000 clock):	156000 evaluated; 0 wrong controls; 145377 violate mass constrain.
Tue Jul  2 13:15:11 2013, (1526380000 clock):	157000 evaluated; 0 wrong controls; 146303 violate mass constrain.
Tue Jul  2 13:15:21 2013, (1535890000 clock):	158000 evaluated; 0 wrong controls; 147229 violate mass constrain.
Tue Jul  2 13:15:33 2013, (1547040000 clock):	159000 evaluated; 0 wrong controls; 148163 violate mass constrain.
Tue Jul  2 13:15:43 2013, (1557310000 clock):	160000 evaluated; 0 wrong controls; 149098 violate mass constrain.
Tue Jul  2 13:15:53 2013, (1566670000 clock):	161000 evaluated; 0 wrong controls; 150037 violate mass constrain.
Tue Jul  2 13:16:03 2013, (1576800000 clock):	162000 evaluated; 0 wrong controls; 150960 violate mass constrain.
Tue Jul  2 13:16:15 2013, (1587710000 clock):	163000 evaluated; 0 wrong controls; 151897 violate mass constrain.
Tue Jul  2 13:16:25 2013, (1597090000 clock):	164000 evaluated; 0 wrong controls; 152825 violate mass constrain.
Tue Jul  2 13:16:34 2013, (1605880000 clock):	165000 evaluated; 0 wrong controls; 153758 violate mass constrain.
Tue Jul  2 13:16:43 2013, (1614870000 clock):	166000 evaluated; 0 wrong controls; 154681 violate mass constrain.
Tue Jul  2 13:16:53 2013, (1624850000 clock):	167000 evaluated; 0 wrong controls; 155618 violate mass constrain.
Tue Jul  2 13:17:03 2013, (1633930000 clock):	168000 evaluated; 0 wrong controls; 156552 violate mass constrain.
Tue Jul  2 13:17:12 2013, (1643030000 clock):	169000 evaluated; 0 wrong controls; 157486 violate mass constrain.
Tue Jul  2 13:17:22 2013, (1652240000 clock):	170000 evaluated; 0 wrong controls; 158400 violate mass constrain.
Tue Jul  2 13:17:31 2013, (1661180000 clock):	171000 evaluated; 0 wrong controls; 159334 violate mass constrain.
Tue Jul  2 13:17:40 2013, (1669940000 clock):	172000 evaluated; 0 wrong controls; 160277 violate mass constrain.
Tue Jul  2 13:17:50 2013, (1679470000 clock):	173000 evaluated; 0 wrong controls; 161219 violate mass constrain.
Tue Jul  2 13:18:00 2013, (1689200000 clock):	174000 evaluated; 0 wrong controls; 162154 violate mass constrain.
Tue Jul  2 13:18:10 2013, (1698700000 clock):	175000 evaluated; 0 wrong controls; 163080 violate mass constrain.
Tue Jul  2 13:18:20 2013, (1707630000 clock):	176000 evaluated; 0 wrong controls; 164017 violate mass constrain.
Tue Jul  2 13:18:29 2013, (1716960000 clock):	177000 evaluated; 0 wrong controls; 164955 violate mass constrain.
Tue Jul  2 13:18:38 2013, (1725770000 clock):	178000 evaluated; 0 wrong controls; 165896 violate mass constrain.
Tue Jul  2 13:18:48 2013, (1734570000 clock):	179000 evaluated; 0 wrong controls; 166825 violate mass constrain.
Tue Jul  2 13:18:58 2013, (1744480000 clock):	180000 evaluated; 0 wrong controls; 167755 violate mass constrain.
Tue Jul  2 13:19:08 2013, (1753840000 clock):	181000 evaluated; 0 wrong controls; 168678 violate mass constrain.
Tue Jul  2 13:19:17 2013, (1762780000 clock):	182000 evaluated; 0 wrong controls; 169613 violate mass constrain.
Tue Jul  2 13:19:27 2013, (1772120000 clock):	183000 evaluated; 0 wrong controls; 170529 violate mass constrain.
Tue Jul  2 13:19:36 2013, (1780770000 clock):	184000 evaluated; 0 wrong controls; 171460 violate mass constrain.
Tue Jul  2 13:19:46 2013, (1790460000 clock):	185000 evaluated; 0 wrong controls; 172379 violate mass constrain.
Tue Jul  2 13:19:55 2013, (1799200000 clock):	186000 evaluated; 0 wrong controls; 173321 violate mass constrain.
Tue Jul  2 13:20:05 2013, (1808820000 clock):	187000 evaluated; 0 wrong controls; 174257 violate mass constrain.
Tue Jul  2 13:20:14 2013, (1817800000 clock):	188000 evaluated; 0 wrong controls; 175187 violate mass constrain.
Tue Jul  2 13:20:23 2013, (1826630000 clock):	189000 evaluated; 0 wrong controls; 176122 violate mass constrain.
Tue Jul  2 13:20:33 2013, (1835630000 clock):	190000 evaluated; 0 wrong controls; 177056 violate mass constrain.
Tue Jul  2 13:20:42 2013, (1844830000 clock):	191000 evaluated; 0 wrong controls; 177988 violate mass constrain.
Tue Jul  2 13:20:53 2013, (1854860000 clock):	192000 evaluated; 0 wrong controls; 178913 violate mass constrain.
Tue Jul  2 13:21:05 2013, (1867180000 clock):	193000 evaluated; 0 wrong controls; 179837 violate mass constrain.
Tue Jul  2 13:21:15 2013, (1875870000 clock):	194000 evaluated; 0 wrong controls; 180783 violate mass constrain.
Tue Jul  2 13:21:24 2013, (1885310000 clock):	195000 evaluated; 0 wrong controls; 181724 violate mass constrain.
Tue Jul  2 13:21:34 2013, (1894850000 clock):	196000 evaluated; 0 wrong controls; 182638 violate mass constrain.
Tue Jul  2 13:21:44 2013, (1903930000 clock):	197000 evaluated; 0 wrong controls; 183583 violate mass constrain.
Tue Jul  2 13:21:53 2013, (1912980000 clock):	198000 evaluated; 0 wrong controls; 184505 violate mass constrain.
Tue Jul  2 13:22:03 2013, (1921970000 clock):	199000 evaluated; 0 wrong controls; 185434 violate mass constrain.
Tue Jul  2 13:22:12 2013, (1931290000 clock):	200000 evaluated; 0 wrong controls; 186360 violate mass constrain.
Tue Jul  2 13:22:22 2013, (1940710000 clock):	201000 evaluated; 0 wrong controls; 187297 violate mass constrain.
Tue Jul  2 13:22:31 2013, (1949810000 clock):	202000 evaluated; 0 wrong controls; 188223 violate mass constrain.
Tue Jul  2 13:22:41 2013, (1959420000 clock):	203000 evaluated; 0 wrong controls; 189171 violate mass constrain.
Tue Jul  2 13:22:51 2013, (1968320000 clock):	204000 evaluated; 0 wrong controls; 190119 violate mass constrain.
Tue Jul  2 13:23:01 2013, (1978590000 clock):	205000 evaluated; 0 wrong controls; 191052 violate mass constrain.
Tue Jul  2 13:23:11 2013, (1988020000 clock):	206000 evaluated; 0 wrong controls; 191981 violate mass constrain.
Tue Jul  2 13:23:20 2013, (1996870000 clock):	207000 evaluated; 0 wrong controls; 192916 violate mass constrain.
Tue Jul  2 13:23:30 2013, (2005920000 clock):	208000 evaluated; 0 wrong controls; 193834 violate mass constrain.
Tue Jul  2 13:23:40 2013, (2016030000 clock):	209000 evaluated; 0 wrong controls; 194766 violate mass constrain.
Tue Jul  2 13:23:50 2013, (2025540000 clock):	210000 evaluated; 0 wrong controls; 195698 violate mass constrain.
Tue Jul  2 13:24:03 2013, (2037700000 clock):	211000 evaluated; 0 wrong controls; 196630 violate mass constrain.
Tue Jul  2 13:24:13 2013, (2047200000 clock):	212000 evaluated; 0 wrong controls; 197562 violate mass constrain.
Tue Jul  2 13:24:23 2013, (2056300000 clock):	213000 evaluated; 0 wrong controls; 198495 violate mass constrain.
Tue Jul  2 13:24:32 2013, (2065450000 clock):	214000 evaluated; 0 wrong controls; 199422 violate mass constrain.
Tue Jul  2 13:24:42 2013, (2075260000 clock):	215000 evaluated; 0 wrong controls; 200351 violate mass constrain.
Tue Jul  2 13:24:52 2013, (2084230000 clock):	216000 evaluated; 0 wrong controls; 201297 violate mass constrain.
Tue Jul  2 13:25:01 2013, (2093330000 clock):	217000 evaluated; 0 wrong controls; 202232 violate mass constrain.
Tue Jul  2 13:25:12 2013, (2103210000 clock):	218000 evaluated; 0 wrong controls; 203161 violate mass constrain.
Tue Jul  2 13:25:21 2013, (2112020000 clock):	219000 evaluated; 0 wrong controls; 204115 violate mass constrain.
Tue Jul  2 13:25:32 2013, (2123330000 clock):	220000 evaluated; 0 wrong controls; 205051 violate mass constrain.
Tue Jul  2 13:25:42 2013, (2132310000 clock):	221000 evaluated; 0 wrong controls; 205997 violate mass constrain.
Tue Jul  2 13:25:52 2013, (2141910000 clock):	222000 evaluated; 0 wrong controls; 206928 violate mass constrain.
Tue Jul  2 13:26:01 2013, (2150680000 clock):	223000 evaluated; 0 wrong controls; 207872 violate mass constrain.
