Thu Jul  4 11:44:15 2013, (0 clock):	Start log file
Thu Jul  4 11:44:15 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:15 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:15 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 12:20:07 2013, (2109630000 clock):	101000 evaluated; 0 wrong controls; 48796 violate mass constrain.
Thu Jul  4 12:20:37 2013, (2139050000 clock):	102000 evaluated; 0 wrong controls; 48882 violate mass constrain.
Thu Jul  4 12:21:06 2013, (2167310000 clock):	103000 evaluated; 0 wrong controls; 49006 violate mass constrain.
Thu Jul  4 12:21:35 2013, (2195780000 clock):	104000 evaluated; 0 wrong controls; 49117 violate mass constrain.
Thu Jul  4 12:22:03 2013, (2223570000 clock):	105000 evaluated; 0 wrong controls; 49264 violate mass constrain.
Thu Jul  4 12:22:32 2013, (2251870000 clock):	106000 evaluated; 0 wrong controls; 49415 violate mass constrain.
Thu Jul  4 12:22:41 2013, (2260880000 clock):	107000 evaluated; 0 wrong controls; 50412 violate mass constrain.
Thu Jul  4 12:23:02 2013, (2281340000 clock):	108000 evaluated; 0 wrong controls; 50886 violate mass constrain.
Thu Jul  4 12:23:31 2013, (2309510000 clock):	109000 evaluated; 0 wrong controls; 51059 violate mass constrain.
Thu Jul  4 12:23:59 2013, (2337290000 clock):	110000 evaluated; 0 wrong controls; 51211 violate mass constrain.
Thu Jul  4 12:24:28 2013, (2365940000 clock):	111000 evaluated; 0 wrong controls; 51315 violate mass constrain.
