Wed Jun  5 13:58:13 2013, (0 clock):	Start log file
Wed Jun  5 13:58:13 2013, (0 clock):	Parameters loaded.
Wed Jun  5 13:58:13 2013, (0 clock):	controls:
  bounds:
    - 400
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Wed Jun  5 14:03:32 2013, (298300000 clock):	79000 evaluated; 0 wrong controls; 79000 violate mass constrain.
Wed Jun  5 14:03:36 2013, (302140000 clock):	80000 evaluated; 0 wrong controls; 80000 violate mass constrain.
Wed Jun  5 14:03:40 2013, (305880000 clock):	81000 evaluated; 0 wrong controls; 81000 violate mass constrain.
Wed Jun  5 14:03:44 2013, (309680000 clock):	82000 evaluated; 0 wrong controls; 82000 violate mass constrain.
Wed Jun  5 14:03:48 2013, (313440000 clock):	83000 evaluated; 0 wrong controls; 83000 violate mass constrain.
Wed Jun  5 14:03:52 2013, (317240000 clock):	84000 evaluated; 0 wrong controls; 84000 violate mass constrain.
Wed Jun  5 14:03:56 2013, (320940000 clock):	85000 evaluated; 0 wrong controls; 85000 violate mass constrain.
Wed Jun  5 14:04:00 2013, (324650000 clock):	86000 evaluated; 0 wrong controls; 86000 violate mass constrain.
Wed Jun  5 14:04:04 2013, (328580000 clock):	87000 evaluated; 0 wrong controls; 87000 violate mass constrain.
Wed Jun  5 14:04:08 2013, (332350000 clock):	88000 evaluated; 0 wrong controls; 88000 violate mass constrain.
Wed Jun  5 14:04:12 2013, (336100000 clock):	89000 evaluated; 0 wrong controls; 89000 violate mass constrain.
Wed Jun  5 14:04:16 2013, (339800000 clock):	90000 evaluated; 0 wrong controls; 90000 violate mass constrain.
Wed Jun  5 14:04:20 2013, (343570000 clock):	91000 evaluated; 0 wrong controls; 91000 violate mass constrain.
Wed Jun  5 14:04:24 2013, (347210000 clock):	92000 evaluated; 0 wrong controls; 92000 violate mass constrain.
Wed Jun  5 14:04:28 2013, (350900000 clock):	93000 evaluated; 0 wrong controls; 93000 violate mass constrain.
Wed Jun  5 14:04:32 2013, (354570000 clock):	94000 evaluated; 0 wrong controls; 94000 violate mass constrain.
Wed Jun  5 14:04:36 2013, (358420000 clock):	95000 evaluated; 0 wrong controls; 95000 violate mass constrain.
Wed Jun  5 14:04:40 2013, (362230000 clock):	96000 evaluated; 0 wrong controls; 96000 violate mass constrain.
Wed Jun  5 14:04:44 2013, (365990000 clock):	97000 evaluated; 0 wrong controls; 97000 violate mass constrain.
Wed Jun  5 14:04:48 2013, (369800000 clock):	98000 evaluated; 0 wrong controls; 98000 violate mass constrain.
Wed Jun  5 14:04:52 2013, (373520000 clock):	99000 evaluated; 0 wrong controls; 99000 violate mass constrain.
Wed Jun  5 14:04:56 2013, (377210000 clock):	100000 evaluated; 0 wrong controls; 100000 violate mass constrain.
Wed Jun  5 14:05:00 2013, (380880000 clock):	101000 evaluated; 0 wrong controls; 101000 violate mass constrain.
Wed Jun  5 14:05:04 2013, (384480000 clock):	102000 evaluated; 0 wrong controls; 102000 violate mass constrain.
Wed Jun  5 14:05:08 2013, (388170000 clock):	103000 evaluated; 0 wrong controls; 103000 violate mass constrain.
