Wed Jun 12 19:19:54 2013, (0 clock):	Start log file
Wed Jun 12 19:19:54 2013, (0 clock):	Parameters loaded.
Wed Jun 12 19:19:54 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Wed Jun 12 19:30:05 2013, (589350000 clock):	147000 evaluated; 0 wrong controls; 147000 violate mass constrain.
Wed Jun 12 19:30:09 2013, (593300000 clock):	148000 evaluated; 0 wrong controls; 148000 violate mass constrain.
Wed Jun 12 19:30:13 2013, (597220000 clock):	149000 evaluated; 0 wrong controls; 149000 violate mass constrain.
Wed Jun 12 19:30:17 2013, (601200000 clock):	150000 evaluated; 0 wrong controls; 150000 violate mass constrain.
Wed Jun 12 19:30:22 2013, (605260000 clock):	151000 evaluated; 0 wrong controls; 151000 violate mass constrain.
Wed Jun 12 19:30:26 2013, (609290000 clock):	152000 evaluated; 0 wrong controls; 152000 violate mass constrain.
Wed Jun 12 19:30:30 2013, (613370000 clock):	153000 evaluated; 0 wrong controls; 153000 violate mass constrain.
Wed Jun 12 19:30:34 2013, (617370000 clock):	154000 evaluated; 0 wrong controls; 154000 violate mass constrain.
Wed Jun 12 19:30:38 2013, (621160000 clock):	155000 evaluated; 0 wrong controls; 155000 violate mass constrain.
Wed Jun 12 19:30:42 2013, (625060000 clock):	156000 evaluated; 0 wrong controls; 156000 violate mass constrain.
Wed Jun 12 19:30:46 2013, (629040000 clock):	157000 evaluated; 0 wrong controls; 157000 violate mass constrain.
Wed Jun 12 19:30:50 2013, (633110000 clock):	158000 evaluated; 0 wrong controls; 158000 violate mass constrain.
Wed Jun 12 19:30:55 2013, (637180000 clock):	159000 evaluated; 0 wrong controls; 159000 violate mass constrain.
Wed Jun 12 19:30:59 2013, (641170000 clock):	160000 evaluated; 0 wrong controls; 160000 violate mass constrain.
Wed Jun 12 19:31:03 2013, (645390000 clock):	161000 evaluated; 0 wrong controls; 161000 violate mass constrain.
Wed Jun 12 19:31:07 2013, (649380000 clock):	162000 evaluated; 0 wrong controls; 162000 violate mass constrain.
Wed Jun 12 19:31:11 2013, (653180000 clock):	163000 evaluated; 0 wrong controls; 163000 violate mass constrain.
Wed Jun 12 19:31:15 2013, (657180000 clock):	164000 evaluated; 0 wrong controls; 164000 violate mass constrain.
Wed Jun 12 19:31:19 2013, (661170000 clock):	165000 evaluated; 0 wrong controls; 165000 violate mass constrain.
Wed Jun 12 19:31:24 2013, (665230000 clock):	166000 evaluated; 0 wrong controls; 166000 violate mass constrain.
Wed Jun 12 19:31:28 2013, (669230000 clock):	167000 evaluated; 0 wrong controls; 167000 violate mass constrain.
Wed Jun 12 19:31:32 2013, (673280000 clock):	168000 evaluated; 0 wrong controls; 168000 violate mass constrain.
Wed Jun 12 19:31:36 2013, (677340000 clock):	169000 evaluated; 0 wrong controls; 169000 violate mass constrain.
Wed Jun 12 19:31:40 2013, (681270000 clock):	170000 evaluated; 0 wrong controls; 170000 violate mass constrain.
