Thu Jun  6 19:33:34 2013, (0 clock):	Start log file
Thu Jun  6 19:33:34 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:34 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 19:53:39 2013, (1171020000 clock):	63000 evaluated; 0 wrong controls; 28683 violate mass constrain.
Thu Jun  6 19:53:59 2013, (1190700000 clock):	64000 evaluated; 0 wrong controls; 29067 violate mass constrain.
Thu Jun  6 19:54:20 2013, (1210950000 clock):	65000 evaluated; 0 wrong controls; 29454 violate mass constrain.
Thu Jun  6 19:54:41 2013, (1231430000 clock):	66000 evaluated; 0 wrong controls; 29806 violate mass constrain.
Thu Jun  6 19:55:02 2013, (1251670000 clock):	67000 evaluated; 0 wrong controls; 30164 violate mass constrain.
Thu Jun  6 19:55:22 2013, (1270970000 clock):	68000 evaluated; 0 wrong controls; 30542 violate mass constrain.
Thu Jun  6 19:55:42 2013, (1291080000 clock):	69000 evaluated; 0 wrong controls; 30868 violate mass constrain.
Thu Jun  6 19:56:03 2013, (1311170000 clock):	70000 evaluated; 0 wrong controls; 31242 violate mass constrain.
Thu Jun  6 19:56:24 2013, (1331890000 clock):	71000 evaluated; 0 wrong controls; 31604 violate mass constrain.
Thu Jun  6 19:56:45 2013, (1352030000 clock):	72000 evaluated; 0 wrong controls; 31950 violate mass constrain.
Thu Jun  6 19:57:06 2013, (1373140000 clock):	73000 evaluated; 0 wrong controls; 32273 violate mass constrain.
Thu Jun  6 19:57:27 2013, (1393660000 clock):	74000 evaluated; 0 wrong controls; 32603 violate mass constrain.
Thu Jun  6 19:57:48 2013, (1414170000 clock):	75000 evaluated; 0 wrong controls; 32944 violate mass constrain.
Thu Jun  6 19:58:09 2013, (1434570000 clock):	76000 evaluated; 0 wrong controls; 33289 violate mass constrain.
Thu Jun  6 19:58:30 2013, (1454900000 clock):	77000 evaluated; 0 wrong controls; 33632 violate mass constrain.
Thu Jun  6 19:58:52 2013, (1475980000 clock):	78000 evaluated; 0 wrong controls; 33937 violate mass constrain.
Thu Jun  6 19:59:14 2013, (1496720000 clock):	79000 evaluated; 0 wrong controls; 34257 violate mass constrain.
Thu Jun  6 19:59:34 2013, (1516560000 clock):	80000 evaluated; 0 wrong controls; 34620 violate mass constrain.
Thu Jun  6 19:59:56 2013, (1537360000 clock):	81000 evaluated; 0 wrong controls; 34960 violate mass constrain.
Thu Jun  6 20:00:17 2013, (1558420000 clock):	82000 evaluated; 0 wrong controls; 35294 violate mass constrain.
Thu Jun  6 20:00:38 2013, (1578910000 clock):	83000 evaluated; 0 wrong controls; 35645 violate mass constrain.
Thu Jun  6 20:00:59 2013, (1599270000 clock):	84000 evaluated; 0 wrong controls; 35972 violate mass constrain.
Thu Jun  6 20:01:20 2013, (1619290000 clock):	85000 evaluated; 0 wrong controls; 36318 violate mass constrain.
Thu Jun  6 20:01:40 2013, (1639060000 clock):	86000 evaluated; 0 wrong controls; 36687 violate mass constrain.
Thu Jun  6 20:02:02 2013, (1660050000 clock):	87000 evaluated; 0 wrong controls; 37025 violate mass constrain.
Thu Jun  6 20:02:23 2013, (1680520000 clock):	88000 evaluated; 0 wrong controls; 37347 violate mass constrain.
Thu Jun  6 20:02:43 2013, (1700380000 clock):	89000 evaluated; 0 wrong controls; 37701 violate mass constrain.
Thu Jun  6 20:03:04 2013, (1720880000 clock):	90000 evaluated; 0 wrong controls; 38047 violate mass constrain.
Thu Jun  6 20:03:25 2013, (1741510000 clock):	91000 evaluated; 0 wrong controls; 38375 violate mass constrain.
Thu Jun  6 20:03:47 2013, (1762500000 clock):	92000 evaluated; 0 wrong controls; 38726 violate mass constrain.
Thu Jun  6 20:04:08 2013, (1783270000 clock):	93000 evaluated; 0 wrong controls; 39052 violate mass constrain.
Thu Jun  6 20:04:31 2013, (1804690000 clock):	94000 evaluated; 0 wrong controls; 39360 violate mass constrain.
Thu Jun  6 20:04:51 2013, (1824740000 clock):	95000 evaluated; 0 wrong controls; 39699 violate mass constrain.
Thu Jun  6 20:05:11 2013, (1844360000 clock):	96000 evaluated; 0 wrong controls; 40054 violate mass constrain.
Thu Jun  6 20:05:32 2013, (1864540000 clock):	97000 evaluated; 0 wrong controls; 40404 violate mass constrain.
Thu Jun  6 20:05:53 2013, (1885180000 clock):	98000 evaluated; 0 wrong controls; 40731 violate mass constrain.
Thu Jun  6 20:06:15 2013, (1905700000 clock):	99000 evaluated; 0 wrong controls; 41066 violate mass constrain.
Thu Jun  6 20:06:35 2013, (1926070000 clock):	100000 evaluated; 0 wrong controls; 41415 violate mass constrain.
Thu Jun  6 20:06:57 2013, (1946780000 clock):	101000 evaluated; 0 wrong controls; 41772 violate mass constrain.
Thu Jun  6 20:07:17 2013, (1967020000 clock):	102000 evaluated; 0 wrong controls; 42112 violate mass constrain.
Thu Jun  6 20:07:39 2013, (1987490000 clock):	103000 evaluated; 0 wrong controls; 42451 violate mass constrain.
Thu Jun  6 20:08:00 2013, (2008060000 clock):	104000 evaluated; 0 wrong controls; 42781 violate mass constrain.
Thu Jun  6 20:08:21 2013, (2029240000 clock):	105000 evaluated; 0 wrong controls; 43109 violate mass constrain.
Thu Jun  6 20:08:43 2013, (2049880000 clock):	106000 evaluated; 0 wrong controls; 43456 violate mass constrain.
Thu Jun  6 20:09:04 2013, (2070640000 clock):	107000 evaluated; 0 wrong controls; 43782 violate mass constrain.
Thu Jun  6 20:09:25 2013, (2091490000 clock):	108000 evaluated; 0 wrong controls; 44098 violate mass constrain.
Thu Jun  6 20:09:47 2013, (2112510000 clock):	109000 evaluated; 0 wrong controls; 44424 violate mass constrain.
Thu Jun  6 20:10:07 2013, (2131930000 clock):	110000 evaluated; 0 wrong controls; 44790 violate mass constrain.
Thu Jun  6 20:10:31 2013, (2151770000 clock):	111000 evaluated; 0 wrong controls; 45151 violate mass constrain.
Thu Jun  6 20:10:51 2013, (2171680000 clock):	112000 evaluated; 0 wrong controls; 45502 violate mass constrain.
Thu Jun  6 20:11:12 2013, (2191890000 clock):	113000 evaluated; 0 wrong controls; 45834 violate mass constrain.
Thu Jun  6 20:11:33 2013, (2212690000 clock):	114000 evaluated; 0 wrong controls; 46155 violate mass constrain.
Thu Jun  6 20:11:54 2013, (2233330000 clock):	115000 evaluated; 0 wrong controls; 46503 violate mass constrain.
Thu Jun  6 20:12:16 2013, (2254370000 clock):	116000 evaluated; 0 wrong controls; 46854 violate mass constrain.
Thu Jun  6 20:12:40 2013, (2275510000 clock):	117000 evaluated; 0 wrong controls; 47208 violate mass constrain.
Thu Jun  6 20:13:01 2013, (2296580000 clock):	118000 evaluated; 0 wrong controls; 47554 violate mass constrain.
Thu Jun  6 20:13:24 2013, (2318370000 clock):	119000 evaluated; 0 wrong controls; 47887 violate mass constrain.
Thu Jun  6 20:13:46 2013, (2340080000 clock):	120000 evaluated; 0 wrong controls; 48234 violate mass constrain.
Thu Jun  6 20:14:09 2013, (2361960000 clock):	121000 evaluated; 0 wrong controls; 48581 violate mass constrain.
Thu Jun  6 20:14:31 2013, (2383320000 clock):	122000 evaluated; 0 wrong controls; 48909 violate mass constrain.
Thu Jun  6 20:14:53 2013, (2404740000 clock):	123000 evaluated; 0 wrong controls; 49250 violate mass constrain.
Thu Jun  6 20:15:16 2013, (2426300000 clock):	124000 evaluated; 0 wrong controls; 49572 violate mass constrain.
Thu Jun  6 20:15:37 2013, (2446960000 clock):	125000 evaluated; 0 wrong controls; 49892 violate mass constrain.
Thu Jun  6 20:15:59 2013, (2468160000 clock):	126000 evaluated; 0 wrong controls; 50209 violate mass constrain.
Thu Jun  6 20:16:22 2013, (2489960000 clock):	127000 evaluated; 0 wrong controls; 50502 violate mass constrain.
Thu Jun  6 20:16:43 2013, (2511190000 clock):	128000 evaluated; 0 wrong controls; 50826 violate mass constrain.
Thu Jun  6 20:17:05 2013, (2532240000 clock):	129000 evaluated; 0 wrong controls; 51163 violate mass constrain.
Thu Jun  6 20:17:27 2013, (2553510000 clock):	130000 evaluated; 0 wrong controls; 51486 violate mass constrain.
Thu Jun  6 20:17:56 2013, (2574910000 clock):	131000 evaluated; 0 wrong controls; 51821 violate mass constrain.
Thu Jun  6 20:18:18 2013, (2596210000 clock):	132000 evaluated; 0 wrong controls; 52139 violate mass constrain.
Thu Jun  6 20:18:40 2013, (2617260000 clock):	133000 evaluated; 0 wrong controls; 52489 violate mass constrain.
Thu Jun  6 20:19:02 2013, (2639140000 clock):	134000 evaluated; 0 wrong controls; 52826 violate mass constrain.
Thu Jun  6 20:19:24 2013, (2660560000 clock):	135000 evaluated; 0 wrong controls; 53172 violate mass constrain.
