Wed Jul  3 17:51:22 2013, (0 clock):	Start log file
Wed Jul  3 17:51:22 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:22 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:22 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 18:06:57 2013, (896690000 clock):	90000 evaluated; 0 wrong controls; 87177 violate mass constrain.
Wed Jul  3 18:07:08 2013, (906900000 clock):	91000 evaluated; 0 wrong controls; 88167 violate mass constrain.
Wed Jul  3 18:07:18 2013, (916650000 clock):	92000 evaluated; 0 wrong controls; 89153 violate mass constrain.
Wed Jul  3 18:07:29 2013, (927080000 clock):	93000 evaluated; 0 wrong controls; 90120 violate mass constrain.
Wed Jul  3 18:07:41 2013, (938400000 clock):	94000 evaluated; 0 wrong controls; 91074 violate mass constrain.
Wed Jul  3 18:07:52 2013, (948790000 clock):	95000 evaluated; 0 wrong controls; 92016 violate mass constrain.
Wed Jul  3 18:08:04 2013, (960680000 clock):	96000 evaluated; 0 wrong controls; 92953 violate mass constrain.
Wed Jul  3 18:08:16 2013, (972120000 clock):	97000 evaluated; 0 wrong controls; 93947 violate mass constrain.
Wed Jul  3 18:08:26 2013, (981630000 clock):	98000 evaluated; 0 wrong controls; 94938 violate mass constrain.
Wed Jul  3 18:08:35 2013, (991050000 clock):	99000 evaluated; 0 wrong controls; 95931 violate mass constrain.
Wed Jul  3 18:08:48 2013, (1003480000 clock):	100000 evaluated; 0 wrong controls; 96921 violate mass constrain.
Wed Jul  3 18:09:01 2013, (1015670000 clock):	101000 evaluated; 0 wrong controls; 97908 violate mass constrain.
Wed Jul  3 18:09:11 2013, (1025570000 clock):	102000 evaluated; 0 wrong controls; 98902 violate mass constrain.
Wed Jul  3 18:09:21 2013, (1034970000 clock):	103000 evaluated; 0 wrong controls; 99887 violate mass constrain.
Wed Jul  3 18:09:31 2013, (1045030000 clock):	104000 evaluated; 0 wrong controls; 100873 violate mass constrain.
Wed Jul  3 18:09:42 2013, (1055380000 clock):	105000 evaluated; 0 wrong controls; 101857 violate mass constrain.
Wed Jul  3 18:09:53 2013, (1066080000 clock):	106000 evaluated; 0 wrong controls; 102844 violate mass constrain.
Wed Jul  3 18:10:06 2013, (1078110000 clock):	107000 evaluated; 0 wrong controls; 103836 violate mass constrain.
Wed Jul  3 18:10:18 2013, (1090070000 clock):	108000 evaluated; 0 wrong controls; 104827 violate mass constrain.
Wed Jul  3 18:10:29 2013, (1100680000 clock):	109000 evaluated; 0 wrong controls; 105811 violate mass constrain.
Wed Jul  3 18:10:45 2013, (1116060000 clock):	110000 evaluated; 0 wrong controls; 106792 violate mass constrain.
Wed Jul  3 18:10:56 2013, (1126260000 clock):	111000 evaluated; 0 wrong controls; 107746 violate mass constrain.
Wed Jul  3 18:11:06 2013, (1136380000 clock):	112000 evaluated; 0 wrong controls; 108670 violate mass constrain.
Wed Jul  3 18:11:18 2013, (1148060000 clock):	113000 evaluated; 0 wrong controls; 109589 violate mass constrain.
Wed Jul  3 18:11:30 2013, (1159360000 clock):	114000 evaluated; 0 wrong controls; 110491 violate mass constrain.
Wed Jul  3 18:11:42 2013, (1171260000 clock):	115000 evaluated; 0 wrong controls; 111408 violate mass constrain.
Wed Jul  3 18:11:55 2013, (1183580000 clock):	116000 evaluated; 0 wrong controls; 112336 violate mass constrain.
Wed Jul  3 18:12:06 2013, (1194620000 clock):	117000 evaluated; 0 wrong controls; 113321 violate mass constrain.
Wed Jul  3 18:12:18 2013, (1205620000 clock):	118000 evaluated; 0 wrong controls; 114312 violate mass constrain.
Wed Jul  3 18:12:27 2013, (1214720000 clock):	119000 evaluated; 0 wrong controls; 115303 violate mass constrain.
Wed Jul  3 18:12:37 2013, (1224130000 clock):	120000 evaluated; 0 wrong controls; 116288 violate mass constrain.
Wed Jul  3 18:12:48 2013, (1235230000 clock):	121000 evaluated; 0 wrong controls; 117279 violate mass constrain.
Wed Jul  3 18:13:01 2013, (1247800000 clock):	122000 evaluated; 0 wrong controls; 118263 violate mass constrain.
Wed Jul  3 18:13:13 2013, (1258890000 clock):	123000 evaluated; 0 wrong controls; 119231 violate mass constrain.
Wed Jul  3 18:13:24 2013, (1269970000 clock):	124000 evaluated; 0 wrong controls; 120128 violate mass constrain.
Wed Jul  3 18:13:37 2013, (1282610000 clock):	125000 evaluated; 0 wrong controls; 121023 violate mass constrain.
Wed Jul  3 18:13:51 2013, (1295460000 clock):	126000 evaluated; 0 wrong controls; 121893 violate mass constrain.
Wed Jul  3 18:14:00 2013, (1304760000 clock):	127000 evaluated; 0 wrong controls; 122874 violate mass constrain.
Wed Jul  3 18:14:12 2013, (1315950000 clock):	128000 evaluated; 0 wrong controls; 123867 violate mass constrain.
Wed Jul  3 18:14:23 2013, (1326350000 clock):	129000 evaluated; 0 wrong controls; 124861 violate mass constrain.
Wed Jul  3 18:14:34 2013, (1337270000 clock):	130000 evaluated; 0 wrong controls; 125851 violate mass constrain.
Wed Jul  3 18:14:44 2013, (1346750000 clock):	131000 evaluated; 0 wrong controls; 126840 violate mass constrain.
Wed Jul  3 18:14:54 2013, (1356900000 clock):	132000 evaluated; 0 wrong controls; 127828 violate mass constrain.
Wed Jul  3 18:15:06 2013, (1368090000 clock):	133000 evaluated; 0 wrong controls; 128809 violate mass constrain.
Wed Jul  3 18:15:17 2013, (1378370000 clock):	134000 evaluated; 0 wrong controls; 129791 violate mass constrain.
Wed Jul  3 18:15:27 2013, (1388420000 clock):	135000 evaluated; 0 wrong controls; 130752 violate mass constrain.
Wed Jul  3 18:15:39 2013, (1399880000 clock):	136000 evaluated; 0 wrong controls; 131679 violate mass constrain.
Wed Jul  3 18:15:53 2013, (1412760000 clock):	137000 evaluated; 0 wrong controls; 132651 violate mass constrain.
Wed Jul  3 18:16:05 2013, (1424260000 clock):	138000 evaluated; 0 wrong controls; 133640 violate mass constrain.
Wed Jul  3 18:16:15 2013, (1434470000 clock):	139000 evaluated; 0 wrong controls; 134629 violate mass constrain.
Wed Jul  3 18:16:26 2013, (1444450000 clock):	140000 evaluated; 0 wrong controls; 135612 violate mass constrain.
Wed Jul  3 18:16:37 2013, (1455050000 clock):	141000 evaluated; 0 wrong controls; 136596 violate mass constrain.
Wed Jul  3 18:16:48 2013, (1465410000 clock):	142000 evaluated; 0 wrong controls; 137582 violate mass constrain.
Wed Jul  3 18:16:58 2013, (1475890000 clock):	143000 evaluated; 0 wrong controls; 138528 violate mass constrain.
Wed Jul  3 18:17:11 2013, (1487660000 clock):	144000 evaluated; 0 wrong controls; 139408 violate mass constrain.
Wed Jul  3 18:17:23 2013, (1499320000 clock):	145000 evaluated; 0 wrong controls; 140292 violate mass constrain.
Wed Jul  3 18:17:37 2013, (1513050000 clock):	146000 evaluated; 0 wrong controls; 141203 violate mass constrain.
Wed Jul  3 18:17:49 2013, (1524680000 clock):	147000 evaluated; 0 wrong controls; 142158 violate mass constrain.
Wed Jul  3 18:17:58 2013, (1533710000 clock):	148000 evaluated; 0 wrong controls; 143151 violate mass constrain.
Wed Jul  3 18:18:08 2013, (1543490000 clock):	149000 evaluated; 0 wrong controls; 144133 violate mass constrain.
Wed Jul  3 18:18:20 2013, (1554510000 clock):	150000 evaluated; 0 wrong controls; 145114 violate mass constrain.
Wed Jul  3 18:18:31 2013, (1564800000 clock):	151000 evaluated; 0 wrong controls; 146098 violate mass constrain.
Wed Jul  3 18:18:40 2013, (1573950000 clock):	152000 evaluated; 0 wrong controls; 147085 violate mass constrain.
Wed Jul  3 18:18:51 2013, (1584310000 clock):	153000 evaluated; 0 wrong controls; 148066 violate mass constrain.
Wed Jul  3 18:19:01 2013, (1594030000 clock):	154000 evaluated; 0 wrong controls; 149031 violate mass constrain.
Wed Jul  3 18:19:15 2013, (1607440000 clock):	155000 evaluated; 0 wrong controls; 149916 violate mass constrain.
Wed Jul  3 18:19:27 2013, (1619680000 clock):	156000 evaluated; 0 wrong controls; 150789 violate mass constrain.
Wed Jul  3 18:19:38 2013, (1630360000 clock):	157000 evaluated; 0 wrong controls; 151714 violate mass constrain.
Wed Jul  3 18:19:49 2013, (1640940000 clock):	158000 evaluated; 0 wrong controls; 152700 violate mass constrain.
Wed Jul  3 18:20:00 2013, (1650900000 clock):	159000 evaluated; 0 wrong controls; 153687 violate mass constrain.
Wed Jul  3 18:20:13 2013, (1663570000 clock):	160000 evaluated; 0 wrong controls; 154669 violate mass constrain.
Wed Jul  3 18:20:22 2013, (1672690000 clock):	161000 evaluated; 0 wrong controls; 155663 violate mass constrain.
Wed Jul  3 18:20:34 2013, (1683680000 clock):	162000 evaluated; 0 wrong controls; 156653 violate mass constrain.
Wed Jul  3 18:20:45 2013, (1694470000 clock):	163000 evaluated; 0 wrong controls; 157646 violate mass constrain.
Wed Jul  3 18:20:57 2013, (1706490000 clock):	164000 evaluated; 0 wrong controls; 158632 violate mass constrain.
Wed Jul  3 18:21:09 2013, (1717250000 clock):	165000 evaluated; 0 wrong controls; 159615 violate mass constrain.
Wed Jul  3 18:21:21 2013, (1728910000 clock):	166000 evaluated; 0 wrong controls; 160590 violate mass constrain.
Wed Jul  3 18:21:32 2013, (1740020000 clock):	167000 evaluated; 0 wrong controls; 161564 violate mass constrain.
Wed Jul  3 18:21:45 2013, (1752360000 clock):	168000 evaluated; 0 wrong controls; 162555 violate mass constrain.
Wed Jul  3 18:22:02 2013, (1769190000 clock):	169000 evaluated; 0 wrong controls; 163538 violate mass constrain.
Wed Jul  3 18:22:15 2013, (1781080000 clock):	170000 evaluated; 0 wrong controls; 164486 violate mass constrain.
Wed Jul  3 18:22:27 2013, (1792730000 clock):	171000 evaluated; 0 wrong controls; 165389 violate mass constrain.
Wed Jul  3 18:22:39 2013, (1804620000 clock):	172000 evaluated; 0 wrong controls; 166292 violate mass constrain.
Wed Jul  3 18:22:51 2013, (1816740000 clock):	173000 evaluated; 0 wrong controls; 167149 violate mass constrain.
Wed Jul  3 18:23:03 2013, (1828280000 clock):	174000 evaluated; 0 wrong controls; 168044 violate mass constrain.
Wed Jul  3 18:23:17 2013, (1841730000 clock):	175000 evaluated; 0 wrong controls; 168952 violate mass constrain.
Wed Jul  3 18:23:30 2013, (1854480000 clock):	176000 evaluated; 0 wrong controls; 169846 violate mass constrain.
Wed Jul  3 18:23:43 2013, (1866850000 clock):	177000 evaluated; 0 wrong controls; 170772 violate mass constrain.
Wed Jul  3 18:23:54 2013, (1877000000 clock):	178000 evaluated; 0 wrong controls; 171763 violate mass constrain.
Wed Jul  3 18:24:05 2013, (1887590000 clock):	179000 evaluated; 0 wrong controls; 172755 violate mass constrain.
Wed Jul  3 18:24:15 2013, (1897930000 clock):	180000 evaluated; 0 wrong controls; 173740 violate mass constrain.
Wed Jul  3 18:24:26 2013, (1907810000 clock):	181000 evaluated; 0 wrong controls; 174721 violate mass constrain.
Wed Jul  3 18:24:37 2013, (1918360000 clock):	182000 evaluated; 0 wrong controls; 175692 violate mass constrain.
Wed Jul  3 18:24:47 2013, (1928730000 clock):	183000 evaluated; 0 wrong controls; 176657 violate mass constrain.
Wed Jul  3 18:25:00 2013, (1940830000 clock):	184000 evaluated; 0 wrong controls; 177632 violate mass constrain.
Wed Jul  3 18:25:11 2013, (1951240000 clock):	185000 evaluated; 0 wrong controls; 178587 violate mass constrain.
Wed Jul  3 18:25:21 2013, (1961290000 clock):	186000 evaluated; 0 wrong controls; 179561 violate mass constrain.
Wed Jul  3 18:25:32 2013, (1971600000 clock):	187000 evaluated; 0 wrong controls; 180540 violate mass constrain.
Wed Jul  3 18:25:43 2013, (1982640000 clock):	188000 evaluated; 0 wrong controls; 181532 violate mass constrain.
Wed Jul  3 18:25:54 2013, (1992670000 clock):	189000 evaluated; 0 wrong controls; 182516 violate mass constrain.
Wed Jul  3 18:26:08 2013, (2006640000 clock):	190000 evaluated; 0 wrong controls; 183463 violate mass constrain.
Wed Jul  3 18:26:20 2013, (2018040000 clock):	191000 evaluated; 0 wrong controls; 184372 violate mass constrain.
Wed Jul  3 18:26:32 2013, (2029900000 clock):	192000 evaluated; 0 wrong controls; 185306 violate mass constrain.
Wed Jul  3 18:26:44 2013, (2041630000 clock):	193000 evaluated; 0 wrong controls; 186260 violate mass constrain.
Wed Jul  3 18:26:55 2013, (2052030000 clock):	194000 evaluated; 0 wrong controls; 187221 violate mass constrain.
Wed Jul  3 18:27:06 2013, (2062660000 clock):	195000 evaluated; 0 wrong controls; 188172 violate mass constrain.
Wed Jul  3 18:27:17 2013, (2073430000 clock):	196000 evaluated; 0 wrong controls; 189116 violate mass constrain.
Wed Jul  3 18:27:30 2013, (2085670000 clock):	197000 evaluated; 0 wrong controls; 190047 violate mass constrain.
Wed Jul  3 18:27:40 2013, (2095710000 clock):	198000 evaluated; 0 wrong controls; 191040 violate mass constrain.
Wed Jul  3 18:27:51 2013, (2105710000 clock):	199000 evaluated; 0 wrong controls; 192028 violate mass constrain.
Wed Jul  3 18:28:01 2013, (2115510000 clock):	200000 evaluated; 0 wrong controls; 193000 violate mass constrain.
Wed Jul  3 18:28:13 2013, (2127340000 clock):	201000 evaluated; 0 wrong controls; 193952 violate mass constrain.
Wed Jul  3 18:28:24 2013, (2138300000 clock):	202000 evaluated; 0 wrong controls; 194886 violate mass constrain.
Wed Jul  3 18:28:37 2013, (2150000000 clock):	203000 evaluated; 0 wrong controls; 195850 violate mass constrain.
Wed Jul  3 18:28:48 2013, (2161200000 clock):	204000 evaluated; 0 wrong controls; 196816 violate mass constrain.
Wed Jul  3 18:29:00 2013, (2172120000 clock):	205000 evaluated; 0 wrong controls; 197764 violate mass constrain.
Wed Jul  3 18:29:12 2013, (2182580000 clock):	206000 evaluated; 0 wrong controls; 198731 violate mass constrain.
Wed Jul  3 18:29:23 2013, (2193370000 clock):	207000 evaluated; 0 wrong controls; 199702 violate mass constrain.
Wed Jul  3 18:29:39 2013, (2204040000 clock):	208000 evaluated; 0 wrong controls; 200696 violate mass constrain.
Wed Jul  3 18:29:51 2013, (2215920000 clock):	209000 evaluated; 0 wrong controls; 201692 violate mass constrain.
Wed Jul  3 18:30:02 2013, (2225620000 clock):	210000 evaluated; 0 wrong controls; 202681 violate mass constrain.
Wed Jul  3 18:30:13 2013, (2236650000 clock):	211000 evaluated; 0 wrong controls; 203669 violate mass constrain.
Wed Jul  3 18:30:22 2013, (2245680000 clock):	212000 evaluated; 0 wrong controls; 204662 violate mass constrain.
Wed Jul  3 18:30:32 2013, (2255170000 clock):	213000 evaluated; 0 wrong controls; 205651 violate mass constrain.
Wed Jul  3 18:30:43 2013, (2265610000 clock):	214000 evaluated; 0 wrong controls; 206639 violate mass constrain.
Wed Jul  3 18:30:55 2013, (2276560000 clock):	215000 evaluated; 0 wrong controls; 207628 violate mass constrain.
Wed Jul  3 18:31:05 2013, (2285960000 clock):	216000 evaluated; 0 wrong controls; 208618 violate mass constrain.
Wed Jul  3 18:31:15 2013, (2295740000 clock):	217000 evaluated; 0 wrong controls; 209611 violate mass constrain.
Wed Jul  3 18:31:26 2013, (2306380000 clock):	218000 evaluated; 0 wrong controls; 210601 violate mass constrain.
Wed Jul  3 18:31:37 2013, (2317480000 clock):	219000 evaluated; 0 wrong controls; 211589 violate mass constrain.
Wed Jul  3 18:31:49 2013, (2328160000 clock):	220000 evaluated; 0 wrong controls; 212577 violate mass constrain.
Wed Jul  3 18:32:02 2013, (2341200000 clock):	221000 evaluated; 0 wrong controls; 213561 violate mass constrain.
Wed Jul  3 18:32:14 2013, (2352240000 clock):	222000 evaluated; 0 wrong controls; 214556 violate mass constrain.
Wed Jul  3 18:32:25 2013, (2362720000 clock):	223000 evaluated; 0 wrong controls; 215549 violate mass constrain.
