Wed Jul  3 17:51:00 2013, (0 clock):	Start log file
Wed Jul  3 17:51:00 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:00 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:00 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 18:03:56 2013, (742740000 clock):	81000 evaluated; 0 wrong controls; 80587 violate mass constrain.
Wed Jul  3 18:04:07 2013, (752560000 clock):	82000 evaluated; 0 wrong controls; 81582 violate mass constrain.
Wed Jul  3 18:04:16 2013, (761910000 clock):	83000 evaluated; 0 wrong controls; 82578 violate mass constrain.
Wed Jul  3 18:04:26 2013, (771480000 clock):	84000 evaluated; 0 wrong controls; 83574 violate mass constrain.
Wed Jul  3 18:04:37 2013, (781580000 clock):	85000 evaluated; 0 wrong controls; 84568 violate mass constrain.
Wed Jul  3 18:04:48 2013, (792360000 clock):	86000 evaluated; 0 wrong controls; 85562 violate mass constrain.
Wed Jul  3 18:04:59 2013, (802790000 clock):	87000 evaluated; 0 wrong controls; 86560 violate mass constrain.
Wed Jul  3 18:05:09 2013, (812530000 clock):	88000 evaluated; 0 wrong controls; 87554 violate mass constrain.
Wed Jul  3 18:05:19 2013, (822080000 clock):	89000 evaluated; 0 wrong controls; 88551 violate mass constrain.
Wed Jul  3 18:05:28 2013, (830820000 clock):	90000 evaluated; 0 wrong controls; 89547 violate mass constrain.
Wed Jul  3 18:05:39 2013, (841080000 clock):	91000 evaluated; 0 wrong controls; 90543 violate mass constrain.
Wed Jul  3 18:05:50 2013, (851810000 clock):	92000 evaluated; 0 wrong controls; 91540 violate mass constrain.
Wed Jul  3 18:06:01 2013, (861940000 clock):	93000 evaluated; 0 wrong controls; 92534 violate mass constrain.
Wed Jul  3 18:06:10 2013, (870880000 clock):	94000 evaluated; 0 wrong controls; 93528 violate mass constrain.
Wed Jul  3 18:06:20 2013, (879970000 clock):	95000 evaluated; 0 wrong controls; 94523 violate mass constrain.
Wed Jul  3 18:06:31 2013, (890540000 clock):	96000 evaluated; 0 wrong controls; 95517 violate mass constrain.
Wed Jul  3 18:06:40 2013, (899270000 clock):	97000 evaluated; 0 wrong controls; 96510 violate mass constrain.
Wed Jul  3 18:06:51 2013, (909500000 clock):	98000 evaluated; 0 wrong controls; 97505 violate mass constrain.
Wed Jul  3 18:07:00 2013, (918730000 clock):	99000 evaluated; 0 wrong controls; 98501 violate mass constrain.
Wed Jul  3 18:07:11 2013, (928820000 clock):	100000 evaluated; 0 wrong controls; 99499 violate mass constrain.
Wed Jul  3 18:07:22 2013, (939000000 clock):	101000 evaluated; 0 wrong controls; 100492 violate mass constrain.
Wed Jul  3 18:07:31 2013, (948340000 clock):	102000 evaluated; 0 wrong controls; 101488 violate mass constrain.
Wed Jul  3 18:07:41 2013, (957470000 clock):	103000 evaluated; 0 wrong controls; 102483 violate mass constrain.
Wed Jul  3 18:07:51 2013, (966570000 clock):	104000 evaluated; 0 wrong controls; 103480 violate mass constrain.
Wed Jul  3 18:08:01 2013, (976390000 clock):	105000 evaluated; 0 wrong controls; 104476 violate mass constrain.
Wed Jul  3 18:08:12 2013, (987190000 clock):	106000 evaluated; 0 wrong controls; 105470 violate mass constrain.
Wed Jul  3 18:08:23 2013, (997090000 clock):	107000 evaluated; 0 wrong controls; 106466 violate mass constrain.
