Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 16:43:54 2013, (765790000 clock):	72000 evaluated; 0 wrong controls; 51097 violate mass constrain.
Tue Jun 11 16:44:04 2013, (776400000 clock):	73000 evaluated; 0 wrong controls; 51783 violate mass constrain.
Tue Jun 11 16:44:15 2013, (787170000 clock):	74000 evaluated; 0 wrong controls; 52428 violate mass constrain.
Tue Jun 11 16:44:28 2013, (797630000 clock):	75000 evaluated; 0 wrong controls; 53127 violate mass constrain.
Tue Jun 11 16:44:39 2013, (808120000 clock):	76000 evaluated; 0 wrong controls; 53792 violate mass constrain.
Tue Jun 11 16:44:52 2013, (818390000 clock):	77000 evaluated; 0 wrong controls; 54472 violate mass constrain.
Tue Jun 11 16:45:03 2013, (828920000 clock):	78000 evaluated; 0 wrong controls; 55130 violate mass constrain.
Tue Jun 11 16:45:15 2013, (838990000 clock):	79000 evaluated; 0 wrong controls; 55798 violate mass constrain.
Tue Jun 11 16:45:26 2013, (849180000 clock):	80000 evaluated; 0 wrong controls; 56487 violate mass constrain.
Tue Jun 11 16:45:39 2013, (860090000 clock):	81000 evaluated; 0 wrong controls; 57181 violate mass constrain.
Tue Jun 11 16:45:49 2013, (869660000 clock):	82000 evaluated; 0 wrong controls; 57876 violate mass constrain.
Tue Jun 11 16:46:00 2013, (880520000 clock):	83000 evaluated; 0 wrong controls; 58537 violate mass constrain.
Tue Jun 11 16:46:13 2013, (891560000 clock):	84000 evaluated; 0 wrong controls; 59203 violate mass constrain.
Tue Jun 11 16:46:24 2013, (901920000 clock):	85000 evaluated; 0 wrong controls; 59862 violate mass constrain.
Tue Jun 11 16:46:37 2013, (913190000 clock):	86000 evaluated; 0 wrong controls; 60536 violate mass constrain.
Tue Jun 11 16:46:48 2013, (923860000 clock):	87000 evaluated; 0 wrong controls; 61191 violate mass constrain.
Tue Jun 11 16:47:02 2013, (934760000 clock):	88000 evaluated; 0 wrong controls; 61848 violate mass constrain.
Tue Jun 11 16:47:13 2013, (945240000 clock):	89000 evaluated; 0 wrong controls; 62527 violate mass constrain.
Tue Jun 11 16:47:27 2013, (955970000 clock):	90000 evaluated; 0 wrong controls; 63182 violate mass constrain.
Tue Jun 11 16:47:37 2013, (966190000 clock):	91000 evaluated; 0 wrong controls; 63827 violate mass constrain.
Tue Jun 11 16:47:50 2013, (976250000 clock):	92000 evaluated; 0 wrong controls; 64514 violate mass constrain.
Tue Jun 11 16:48:01 2013, (987040000 clock):	93000 evaluated; 0 wrong controls; 65196 violate mass constrain.
Tue Jun 11 16:48:10 2013, (996540000 clock):	94000 evaluated; 0 wrong controls; 65893 violate mass constrain.
Tue Jun 11 16:48:23 2013, (1006600000 clock):	95000 evaluated; 0 wrong controls; 66562 violate mass constrain.
Tue Jun 11 16:48:33 2013, (1016210000 clock):	96000 evaluated; 0 wrong controls; 67260 violate mass constrain.
Tue Jun 11 16:48:46 2013, (1026360000 clock):	97000 evaluated; 0 wrong controls; 67932 violate mass constrain.
Tue Jun 11 16:48:57 2013, (1037360000 clock):	98000 evaluated; 0 wrong controls; 68601 violate mass constrain.
Tue Jun 11 16:49:11 2013, (1048670000 clock):	99000 evaluated; 0 wrong controls; 69248 violate mass constrain.
Tue Jun 11 16:49:22 2013, (1059030000 clock):	100000 evaluated; 0 wrong controls; 69919 violate mass constrain.
Tue Jun 11 16:49:35 2013, (1069990000 clock):	101000 evaluated; 0 wrong controls; 70608 violate mass constrain.
Tue Jun 11 16:49:44 2013, (1078670000 clock):	102000 evaluated; 0 wrong controls; 71341 violate mass constrain.
