Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 11:04:50 2013, (5761840000 clock):	72000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:06:11 2013, (5842340000 clock):	73000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:07:31 2013, (5921930000 clock):	74000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:08:50 2013, (6000570000 clock):	75000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:10:07 2013, (6076390000 clock):	76000 evaluated; 0 wrong controls; 4808 violate mass constrain.
Sat Jul  6 11:11:21 2013, (6149980000 clock):	77000 evaluated; 0 wrong controls; 5134 violate mass constrain.
Sat Jul  6 11:12:38 2013, (6226730000 clock):	78000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:13:56 2013, (6304660000 clock):	79000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:15:16 2013, (6383650000 clock):	80000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:16:34 2013, (6461510000 clock):	81000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:17:52 2013, (6539070000 clock):	82000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:19:11 2013, (6616980000 clock):	83000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:20:30 2013, (6695460000 clock):	84000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:21:49 2013, (6774430000 clock):	85000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:23:07 2013, (6851360000 clock):	86000 evaluated; 0 wrong controls; 5344 violate mass constrain.
Sat Jul  6 11:24:20 2013, (6924100000 clock):	87000 evaluated; 0 wrong controls; 5701 violate mass constrain.
