Tue Jul 16 13:13:09 2013, (0 clock):	Start log file
Tue Jul 16 13:13:09 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:09 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:09 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:44:31 2013, (1852500000 clock):	63000 evaluated; 0 wrong controls; 31661 violate mass constrain.
Tue Jul 16 13:45:01 2013, (1881960000 clock):	64000 evaluated; 0 wrong controls; 32128 violate mass constrain.
Tue Jul 16 13:45:31 2013, (1911370000 clock):	65000 evaluated; 0 wrong controls; 32588 violate mass constrain.
Tue Jul 16 13:46:02 2013, (1941870000 clock):	66000 evaluated; 0 wrong controls; 33034 violate mass constrain.
Tue Jul 16 13:46:32 2013, (1971500000 clock):	67000 evaluated; 0 wrong controls; 33485 violate mass constrain.
Tue Jul 16 13:47:04 2013, (2002840000 clock):	68000 evaluated; 0 wrong controls; 33919 violate mass constrain.
Tue Jul 16 13:47:34 2013, (2033020000 clock):	69000 evaluated; 0 wrong controls; 34357 violate mass constrain.
Tue Jul 16 13:48:06 2013, (2063400000 clock):	70000 evaluated; 0 wrong controls; 34800 violate mass constrain.
Tue Jul 16 13:48:36 2013, (2092580000 clock):	71000 evaluated; 0 wrong controls; 35244 violate mass constrain.
Tue Jul 16 13:49:06 2013, (2122620000 clock):	72000 evaluated; 0 wrong controls; 35676 violate mass constrain.
Tue Jul 16 13:49:37 2013, (2152390000 clock):	73000 evaluated; 0 wrong controls; 36075 violate mass constrain.
Tue Jul 16 13:50:08 2013, (2182870000 clock):	74000 evaluated; 0 wrong controls; 36487 violate mass constrain.
Tue Jul 16 13:50:39 2013, (2213590000 clock):	75000 evaluated; 0 wrong controls; 36924 violate mass constrain.
Tue Jul 16 13:51:11 2013, (2244750000 clock):	76000 evaluated; 0 wrong controls; 37321 violate mass constrain.
Tue Jul 16 13:51:42 2013, (2275220000 clock):	77000 evaluated; 0 wrong controls; 37741 violate mass constrain.
Tue Jul 16 13:52:13 2013, (2305430000 clock):	78000 evaluated; 0 wrong controls; 38143 violate mass constrain.
Tue Jul 16 13:52:43 2013, (2334420000 clock):	79000 evaluated; 0 wrong controls; 38564 violate mass constrain.
Tue Jul 16 13:53:13 2013, (2363480000 clock):	80000 evaluated; 0 wrong controls; 38996 violate mass constrain.
Tue Jul 16 13:53:43 2013, (2393630000 clock):	81000 evaluated; 0 wrong controls; 39418 violate mass constrain.
Tue Jul 16 13:54:13 2013, (2422940000 clock):	82000 evaluated; 0 wrong controls; 39814 violate mass constrain.
Tue Jul 16 13:54:43 2013, (2451630000 clock):	83000 evaluated; 0 wrong controls; 40274 violate mass constrain.
Tue Jul 16 13:55:13 2013, (2480770000 clock):	84000 evaluated; 0 wrong controls; 40715 violate mass constrain.
Tue Jul 16 13:55:43 2013, (2509920000 clock):	85000 evaluated; 0 wrong controls; 41162 violate mass constrain.
Tue Jul 16 13:56:14 2013, (2539970000 clock):	86000 evaluated; 0 wrong controls; 41547 violate mass constrain.
Tue Jul 16 13:56:44 2013, (2570300000 clock):	87000 evaluated; 0 wrong controls; 41947 violate mass constrain.
Tue Jul 16 13:57:16 2013, (2601560000 clock):	88000 evaluated; 0 wrong controls; 42379 violate mass constrain.
Tue Jul 16 13:57:48 2013, (2632420000 clock):	89000 evaluated; 0 wrong controls; 42760 violate mass constrain.
Tue Jul 16 13:58:20 2013, (2663990000 clock):	90000 evaluated; 0 wrong controls; 43157 violate mass constrain.
Tue Jul 16 13:58:51 2013, (2694040000 clock):	91000 evaluated; 0 wrong controls; 43563 violate mass constrain.
Tue Jul 16 13:59:21 2013, (2724110000 clock):	92000 evaluated; 0 wrong controls; 43980 violate mass constrain.
Tue Jul 16 13:59:56 2013, (2758230000 clock):	93000 evaluated; 0 wrong controls; 44379 violate mass constrain.
Tue Jul 16 14:00:27 2013, (2787730000 clock):	94000 evaluated; 0 wrong controls; 44787 violate mass constrain.
Tue Jul 16 14:00:58 2013, (2817710000 clock):	95000 evaluated; 0 wrong controls; 45226 violate mass constrain.
Tue Jul 16 14:01:29 2013, (2847870000 clock):	96000 evaluated; 0 wrong controls; 45620 violate mass constrain.
Tue Jul 16 14:02:01 2013, (2879940000 clock):	97000 evaluated; 0 wrong controls; 46032 violate mass constrain.
Tue Jul 16 14:02:31 2013, (2909720000 clock):	98000 evaluated; 0 wrong controls; 46422 violate mass constrain.
Tue Jul 16 14:03:03 2013, (2940310000 clock):	99000 evaluated; 0 wrong controls; 46815 violate mass constrain.
Tue Jul 16 14:03:34 2013, (2970350000 clock):	100000 evaluated; 0 wrong controls; 47223 violate mass constrain.
Tue Jul 16 14:04:05 2013, (3000280000 clock):	101000 evaluated; 0 wrong controls; 47647 violate mass constrain.
Tue Jul 16 14:04:35 2013, (3030070000 clock):	102000 evaluated; 0 wrong controls; 48050 violate mass constrain.
Tue Jul 16 14:05:08 2013, (3062160000 clock):	103000 evaluated; 0 wrong controls; 48445 violate mass constrain.
Tue Jul 16 14:05:40 2013, (3093320000 clock):	104000 evaluated; 0 wrong controls; 48830 violate mass constrain.
Tue Jul 16 14:06:12 2013, (3124320000 clock):	105000 evaluated; 0 wrong controls; 49207 violate mass constrain.
Tue Jul 16 14:06:43 2013, (3154140000 clock):	106000 evaluated; 0 wrong controls; 49609 violate mass constrain.
Tue Jul 16 14:07:15 2013, (3185850000 clock):	107000 evaluated; 0 wrong controls; 50015 violate mass constrain.
Tue Jul 16 14:07:48 2013, (3216960000 clock):	108000 evaluated; 0 wrong controls; 50409 violate mass constrain.
Tue Jul 16 14:08:18 2013, (3246830000 clock):	109000 evaluated; 0 wrong controls; 50823 violate mass constrain.
Tue Jul 16 14:08:48 2013, (3276370000 clock):	110000 evaluated; 0 wrong controls; 51175 violate mass constrain.
Tue Jul 16 14:09:19 2013, (3306850000 clock):	111000 evaluated; 0 wrong controls; 51587 violate mass constrain.
Tue Jul 16 14:09:50 2013, (3337010000 clock):	112000 evaluated; 0 wrong controls; 51983 violate mass constrain.
Tue Jul 16 14:10:21 2013, (3366630000 clock):	113000 evaluated; 0 wrong controls; 52382 violate mass constrain.
Tue Jul 16 14:10:53 2013, (3397470000 clock):	114000 evaluated; 0 wrong controls; 52759 violate mass constrain.
Tue Jul 16 14:11:25 2013, (3428440000 clock):	115000 evaluated; 0 wrong controls; 53140 violate mass constrain.
Tue Jul 16 14:11:56 2013, (3459600000 clock):	116000 evaluated; 0 wrong controls; 53517 violate mass constrain.
Tue Jul 16 14:12:28 2013, (3490290000 clock):	117000 evaluated; 0 wrong controls; 53870 violate mass constrain.
Tue Jul 16 14:13:01 2013, (3522270000 clock):	118000 evaluated; 0 wrong controls; 54237 violate mass constrain.
Tue Jul 16 14:13:31 2013, (3551960000 clock):	119000 evaluated; 0 wrong controls; 54653 violate mass constrain.
Tue Jul 16 14:14:01 2013, (3581230000 clock):	120000 evaluated; 0 wrong controls; 55055 violate mass constrain.
Tue Jul 16 14:14:34 2013, (3613200000 clock):	121000 evaluated; 0 wrong controls; 55420 violate mass constrain.
Tue Jul 16 14:15:05 2013, (3644100000 clock):	122000 evaluated; 0 wrong controls; 55810 violate mass constrain.
Tue Jul 16 14:15:36 2013, (3674340000 clock):	123000 evaluated; 0 wrong controls; 56219 violate mass constrain.
Tue Jul 16 14:16:07 2013, (3704820000 clock):	124000 evaluated; 0 wrong controls; 56606 violate mass constrain.
Tue Jul 16 14:16:38 2013, (3734930000 clock):	125000 evaluated; 0 wrong controls; 57004 violate mass constrain.
Tue Jul 16 14:17:08 2013, (3763690000 clock):	126000 evaluated; 0 wrong controls; 57412 violate mass constrain.
Tue Jul 16 14:17:38 2013, (3793200000 clock):	127000 evaluated; 0 wrong controls; 57750 violate mass constrain.
Tue Jul 16 14:18:10 2013, (3824540000 clock):	128000 evaluated; 0 wrong controls; 58128 violate mass constrain.
Tue Jul 16 14:18:40 2013, (3854310000 clock):	129000 evaluated; 0 wrong controls; 58494 violate mass constrain.
Tue Jul 16 14:19:12 2013, (3885370000 clock):	130000 evaluated; 0 wrong controls; 58879 violate mass constrain.
Tue Jul 16 14:19:46 2013, (3917780000 clock):	131000 evaluated; 0 wrong controls; 59254 violate mass constrain.
Tue Jul 16 14:20:17 2013, (3948570000 clock):	132000 evaluated; 0 wrong controls; 59609 violate mass constrain.
Tue Jul 16 14:20:49 2013, (3978980000 clock):	133000 evaluated; 0 wrong controls; 59975 violate mass constrain.
Tue Jul 16 14:21:20 2013, (4010510000 clock):	134000 evaluated; 0 wrong controls; 60334 violate mass constrain.
Tue Jul 16 14:21:51 2013, (4040360000 clock):	135000 evaluated; 0 wrong controls; 60699 violate mass constrain.
Tue Jul 16 14:22:22 2013, (4070180000 clock):	136000 evaluated; 0 wrong controls; 61062 violate mass constrain.
Tue Jul 16 14:22:52 2013, (4099770000 clock):	137000 evaluated; 0 wrong controls; 61422 violate mass constrain.
Tue Jul 16 14:23:24 2013, (4130220000 clock):	138000 evaluated; 0 wrong controls; 61771 violate mass constrain.
Tue Jul 16 14:23:54 2013, (4159680000 clock):	139000 evaluated; 0 wrong controls; 62150 violate mass constrain.
Tue Jul 16 14:24:26 2013, (4192170000 clock):	140000 evaluated; 0 wrong controls; 62537 violate mass constrain.
Tue Jul 16 14:24:58 2013, (4222670000 clock):	141000 evaluated; 0 wrong controls; 62914 violate mass constrain.
Tue Jul 16 14:25:28 2013, (4252620000 clock):	142000 evaluated; 0 wrong controls; 63262 violate mass constrain.
Tue Jul 16 14:26:00 2013, (4283500000 clock):	143000 evaluated; 0 wrong controls; 63647 violate mass constrain.
Tue Jul 16 14:26:32 2013, (4314090000 clock):	144000 evaluated; 0 wrong controls; 64014 violate mass constrain.
Tue Jul 16 14:27:05 2013, (4346280000 clock):	145000 evaluated; 0 wrong controls; 64365 violate mass constrain.
Tue Jul 16 14:27:35 2013, (4376160000 clock):	146000 evaluated; 0 wrong controls; 64710 violate mass constrain.
Tue Jul 16 14:28:07 2013, (4407300000 clock):	147000 evaluated; 0 wrong controls; 65088 violate mass constrain.
Tue Jul 16 14:28:38 2013, (4437860000 clock):	148000 evaluated; 0 wrong controls; 65474 violate mass constrain.
Tue Jul 16 14:29:09 2013, (4468460000 clock):	149000 evaluated; 0 wrong controls; 65835 violate mass constrain.
Tue Jul 16 14:29:40 2013, (4498680000 clock):	150000 evaluated; 0 wrong controls; 66179 violate mass constrain.
Tue Jul 16 14:30:13 2013, (4530800000 clock):	151000 evaluated; 0 wrong controls; 66522 violate mass constrain.
Tue Jul 16 14:30:45 2013, (4562390000 clock):	152000 evaluated; 0 wrong controls; 66892 violate mass constrain.
Tue Jul 16 14:31:17 2013, (4592690000 clock):	153000 evaluated; 0 wrong controls; 67255 violate mass constrain.
Tue Jul 16 14:31:46 2013, (4621420000 clock):	154000 evaluated; 0 wrong controls; 67601 violate mass constrain.
Tue Jul 16 14:32:17 2013, (4651220000 clock):	155000 evaluated; 0 wrong controls; 67999 violate mass constrain.
Tue Jul 16 14:32:48 2013, (4681470000 clock):	156000 evaluated; 0 wrong controls; 68374 violate mass constrain.
Tue Jul 16 14:33:22 2013, (4715970000 clock):	157000 evaluated; 0 wrong controls; 68747 violate mass constrain.
Tue Jul 16 14:33:52 2013, (4745210000 clock):	158000 evaluated; 0 wrong controls; 69110 violate mass constrain.
Tue Jul 16 14:34:25 2013, (4777070000 clock):	159000 evaluated; 0 wrong controls; 69437 violate mass constrain.
Tue Jul 16 14:34:57 2013, (4808400000 clock):	160000 evaluated; 0 wrong controls; 69800 violate mass constrain.
Tue Jul 16 14:35:30 2013, (4840080000 clock):	161000 evaluated; 0 wrong controls; 70179 violate mass constrain.
Tue Jul 16 14:36:03 2013, (4871960000 clock):	162000 evaluated; 0 wrong controls; 70553 violate mass constrain.
Tue Jul 16 14:36:34 2013, (4902810000 clock):	163000 evaluated; 0 wrong controls; 70887 violate mass constrain.
Tue Jul 16 14:37:08 2013, (4936090000 clock):	164000 evaluated; 0 wrong controls; 71232 violate mass constrain.
Tue Jul 16 14:37:39 2013, (4966950000 clock):	165000 evaluated; 0 wrong controls; 71607 violate mass constrain.
Tue Jul 16 14:38:11 2013, (4997990000 clock):	166000 evaluated; 0 wrong controls; 71989 violate mass constrain.
Tue Jul 16 14:38:44 2013, (5030210000 clock):	167000 evaluated; 0 wrong controls; 72378 violate mass constrain.
Tue Jul 16 14:39:15 2013, (5060450000 clock):	168000 evaluated; 0 wrong controls; 72760 violate mass constrain.
Tue Jul 16 14:39:45 2013, (5090370000 clock):	169000 evaluated; 0 wrong controls; 73114 violate mass constrain.
Tue Jul 16 14:40:19 2013, (5123030000 clock):	170000 evaluated; 0 wrong controls; 73465 violate mass constrain.
Tue Jul 16 14:40:49 2013, (5152850000 clock):	171000 evaluated; 0 wrong controls; 73825 violate mass constrain.
Tue Jul 16 14:41:20 2013, (5182930000 clock):	172000 evaluated; 0 wrong controls; 74193 violate mass constrain.
Tue Jul 16 14:41:50 2013, (5212330000 clock):	173000 evaluated; 0 wrong controls; 74595 violate mass constrain.
Tue Jul 16 14:42:23 2013, (5244270000 clock):	174000 evaluated; 0 wrong controls; 74927 violate mass constrain.
Tue Jul 16 14:42:53 2013, (5274490000 clock):	175000 evaluated; 0 wrong controls; 75266 violate mass constrain.
Tue Jul 16 14:43:26 2013, (5305600000 clock):	176000 evaluated; 0 wrong controls; 75614 violate mass constrain.
Tue Jul 16 14:43:57 2013, (5335700000 clock):	177000 evaluated; 0 wrong controls; 75985 violate mass constrain.
Tue Jul 16 14:44:28 2013, (5366040000 clock):	178000 evaluated; 0 wrong controls; 76341 violate mass constrain.
Tue Jul 16 14:44:58 2013, (5395280000 clock):	179000 evaluated; 0 wrong controls; 76831 violate mass constrain.
Tue Jul 16 14:45:25 2013, (5421670000 clock):	180000 evaluated; 0 wrong controls; 77601 violate mass constrain.
Tue Jul 16 14:45:51 2013, (5447980000 clock):	181000 evaluated; 0 wrong controls; 78245 violate mass constrain.
Tue Jul 16 14:46:19 2013, (5475390000 clock):	182000 evaluated; 0 wrong controls; 78837 violate mass constrain.
Tue Jul 16 14:46:47 2013, (5503200000 clock):	183000 evaluated; 0 wrong controls; 79387 violate mass constrain.
Tue Jul 16 14:47:17 2013, (5531980000 clock):	184000 evaluated; 0 wrong controls; 79880 violate mass constrain.
Tue Jul 16 14:47:46 2013, (5560400000 clock):	185000 evaluated; 0 wrong controls; 80343 violate mass constrain.
Tue Jul 16 14:48:15 2013, (5589120000 clock):	186000 evaluated; 0 wrong controls; 80748 violate mass constrain.
Tue Jul 16 14:48:46 2013, (5618860000 clock):	187000 evaluated; 0 wrong controls; 81112 violate mass constrain.
Tue Jul 16 14:49:17 2013, (5649430000 clock):	188000 evaluated; 0 wrong controls; 81469 violate mass constrain.
Tue Jul 16 14:49:48 2013, (5679790000 clock):	189000 evaluated; 0 wrong controls; 81830 violate mass constrain.
Tue Jul 16 14:50:20 2013, (5710990000 clock):	190000 evaluated; 0 wrong controls; 82179 violate mass constrain.
Tue Jul 16 14:50:53 2013, (5743160000 clock):	191000 evaluated; 0 wrong controls; 82516 violate mass constrain.
Tue Jul 16 14:51:25 2013, (5775040000 clock):	192000 evaluated; 0 wrong controls; 82860 violate mass constrain.
Tue Jul 16 14:51:57 2013, (5805710000 clock):	193000 evaluated; 0 wrong controls; 83190 violate mass constrain.
Tue Jul 16 14:52:28 2013, (5836290000 clock):	194000 evaluated; 0 wrong controls; 83490 violate mass constrain.
Tue Jul 16 14:53:00 2013, (5867200000 clock):	195000 evaluated; 0 wrong controls; 83848 violate mass constrain.
Tue Jul 16 14:53:32 2013, (5898260000 clock):	196000 evaluated; 0 wrong controls; 84147 violate mass constrain.
Tue Jul 16 14:54:04 2013, (5929530000 clock):	197000 evaluated; 0 wrong controls; 84476 violate mass constrain.
Tue Jul 16 14:54:37 2013, (5961770000 clock):	198000 evaluated; 0 wrong controls; 84788 violate mass constrain.
Tue Jul 16 14:55:09 2013, (5992280000 clock):	199000 evaluated; 0 wrong controls; 85097 violate mass constrain.
Tue Jul 16 14:55:39 2013, (6022940000 clock):	200000 evaluated; 0 wrong controls; 85441 violate mass constrain.
Tue Jul 16 14:56:10 2013, (6052680000 clock):	201000 evaluated; 0 wrong controls; 85803 violate mass constrain.
Tue Jul 16 14:56:43 2013, (6083800000 clock):	202000 evaluated; 0 wrong controls; 86168 violate mass constrain.
Tue Jul 16 14:57:14 2013, (6114630000 clock):	203000 evaluated; 0 wrong controls; 86527 violate mass constrain.
Tue Jul 16 14:57:46 2013, (6145220000 clock):	204000 evaluated; 0 wrong controls; 86864 violate mass constrain.
Tue Jul 16 14:58:16 2013, (6175860000 clock):	205000 evaluated; 0 wrong controls; 87218 violate mass constrain.
Tue Jul 16 14:58:48 2013, (6206330000 clock):	206000 evaluated; 0 wrong controls; 87580 violate mass constrain.
Tue Jul 16 14:59:21 2013, (6238010000 clock):	207000 evaluated; 0 wrong controls; 87908 violate mass constrain.
Tue Jul 16 14:59:53 2013, (6269680000 clock):	208000 evaluated; 0 wrong controls; 88241 violate mass constrain.
Tue Jul 16 15:00:25 2013, (6300130000 clock):	209000 evaluated; 0 wrong controls; 88592 violate mass constrain.
Tue Jul 16 15:00:59 2013, (6332640000 clock):	210000 evaluated; 0 wrong controls; 88894 violate mass constrain.
Tue Jul 16 15:01:30 2013, (6363760000 clock):	211000 evaluated; 0 wrong controls; 89240 violate mass constrain.
Tue Jul 16 15:02:03 2013, (6395620000 clock):	212000 evaluated; 0 wrong controls; 89586 violate mass constrain.
Tue Jul 16 15:02:37 2013, (6427830000 clock):	213000 evaluated; 0 wrong controls; 89905 violate mass constrain.
Tue Jul 16 15:03:07 2013, (6457320000 clock):	214000 evaluated; 0 wrong controls; 90241 violate mass constrain.
Tue Jul 16 15:03:38 2013, (6486950000 clock):	215000 evaluated; 0 wrong controls; 90595 violate mass constrain.
Tue Jul 16 15:04:09 2013, (6518010000 clock):	216000 evaluated; 0 wrong controls; 90914 violate mass constrain.
Tue Jul 16 15:04:40 2013, (6548410000 clock):	217000 evaluated; 0 wrong controls; 91244 violate mass constrain.
Tue Jul 16 15:05:13 2013, (6579550000 clock):	218000 evaluated; 0 wrong controls; 91555 violate mass constrain.
Tue Jul 16 15:05:45 2013, (6611130000 clock):	219000 evaluated; 0 wrong controls; 91853 violate mass constrain.
Tue Jul 16 15:06:18 2013, (6643290000 clock):	220000 evaluated; 0 wrong controls; 92180 violate mass constrain.
