#
#   Running algorithm GDE3 on 20000000 nfe, with population size of 900.0, with de set to 0.9, 0.9, with 81 controls varying between 1.0 and 39.0 for cell (6,6).
1 1 13 1 32 8 30 7 1 1 13 1 1 27 1 4 1 5 1 2 12 4 1 7 1 1 28 1 1 9 1 3 6 1 1 2 1 20 12 7 1 1 6 6 3 4 10 1 39 1 1 25 9 6 24 1 18 7 21 1 1 1 1 7 1 10 1 1 1 9 2 1 5 6 4 1 1 23 2 3 1 9299845.282618124 1.926160443231367E8 7.288126380013882 0.002563564330940623 0.0 
1 12 1 1 3 1 1 1 1 15 8 9 1 1 4 1 1 1 39 1 11 2 1 14 1 6 1 1 1 6 3 13 3 1 7 2 1 1 1 1 35 1 39 1 1 1 22 1 11 1 27 9 1 6 9 3 1 1 1 19 32 9 35 2 1 4 14 1 39 1 5 1 1 1 1 5 4 14 1 1 1 8454604.131915363 9.329995984829995E7 9.623661870325723 0.0026432051778151142 0.0 
1 5 1 7 1 3 4 1 1 11 15 7 1 6 4 1 1 1 39 5 15 2 25 25 1 1 1 5 4 4 4 39 7 1 5 2 9 1 1 2 39 1 39 6 4 1 6 3 15 4 15 9 1 9 22 8 1 1 1 1 32 8 1 4 1 3 1 1 1 4 8 1 4 1 1 7 1 1 1 1 3 8552609.048664965 8.987445002448127E7 8.972785156172312 0.0026388832794617123 0.0 
1 2 18 1 24 1 20 1 9 4 8 2 1 3 2 1 5 2 7 3 7 29 3 1 1 3 1 16 1 9 1 2 9 1 1 1 4 7 1 1 38 9 4 1 2 1 6 4 1 1 1 1 21 1 19 33 10 1 1 12 35 1 1 1 4 14 1 20 1 5 2 1 2 1 33 2 2 8 15 1 4 9198434.806537263 1.2729393872208631E8 7.319090238702515 0.002766310424934172 0.0 
3 9 1 1 12 11 1 1 4 11 1 7 5 14 13 9 6 12 20 14 1 1 11 1 5 6 13 1 3 23 7 3 1 1 2 1 4 4 23 1 20 6 10 14 1 2 1 10 10 9 1 4 1 1 4 14 1 37 1 1 31 1 9 6 4 1 1 10 7 1 19 1 8 7 7 3 1 1 5 2 4 7124462.246734726 5.4940725923242405E7 66.54313345959837 1.2568144983875575 0.0 
6 1 1 1 9 1 1 1 3 1 1 9 15 14 31 1 1 1 13 1 1 6 1 1 1 5 1 1 2 1 6 1 1 1 15 1 1 1 5 2 39 14 10 1 8 1 1 9 26 3 29 16 7 1 2 12 35 1 3 14 23 1 1 1 10 6 7 27 27 1 13 1 2 4 1 6 1 11 2 1 3 8591639.5588012 6.962001133123705E7 9.319781039518183 0.002866131982551512 0.0 
1 39 1 9 1 1 10 1 1 7 7 1 5 8 12 9 1 1 3 4 8 6 28 1 1 9 8 17 1 10 2 8 6 4 6 1 1 16 4 18 18 21 4 1 6 5 15 17 1 2 1 2 3 1 1 2 1 1 15 2 39 1 16 1 14 1 5 2 39 1 1 1 3 1 1 5 1 2 1 4 1 7519098.450983954 6.020316593152878E7 8.079591265366865 0.004504425245977845 0.0 
4 39 1 3 1 1 23 1 9 4 1 2 1 16 8 1 10 1 39 6 8 3 25 7 1 1 1 5 1 1 6 10 1 1 1 1 5 1 1 1 3 7 39 1 2 1 6 4 10 1 1 1 7 22 21 2 17 1 1 12 39 35 1 1 1 11 1 1 1 1 1 1 4 4 5 5 1 1 1 1 1 8330368.608691287 7.39616381836928E7 7.985705280724639 0.0031968852283813976 0.0 
1 1 1 3 1 3 5 1 3 6 20 7 6 2 1 1 4 1 3 5 3 1 29 1 5 15 1 1 1 31 11 29 1 11 1 4 5 1 15 2 1 25 1 13 3 1 9 1 2 1 20 6 1 20 1 21 1 8 7 3 20 22 1 1 1 9 13 1 39 4 6 1 7 1 8 7 3 1 1 1 8 8730980.943196714 9.674013274265057E7 7.031791082961745 0.0035611145417806145 0.0 
4 2 21 1 3 1 28 2 6 9 8 1 6 1 1 1 4 4 1 7 7 37 1 1 6 1 1 13 1 9 1 1 7 1 3 35 1 7 2 3 1 1 1 1 6 1 1 9 3 3 1 6 21 4 24 39 2 1 4 15 11 1 1 7 4 13 3 1 1 5 1 8 4 1 1 17 2 8 25 9 4 9394506.601627147 7.837573175933723E7 7.089784933405961 0.0037176694586265545 0.0 
2 7 19 1 1 26 2 9 1 14 1 10 10 1 14 16 4 8 9 1 20 10 16 21 1 7 5 2 12 1 1 1 5 3 9 8 1 5 6 1 20 6 1 13 1 4 3 8 1 11 1 1 1 1 11 1 6 18 1 1 6 1 2 8 8 3 1 21 8 13 1 9 2 1 1 4 1 12 1 22 6 7223436.318576784 4.6704199758324824E7 122.00350827868903 13.543575680785796 0.0 
1 39 1 1 1 4 4 1 4 1 1 6 6 11 1 1 1 1 25 20 5 12 25 39 1 1 1 1 14 1 11 35 1 1 4 1 12 1 1 1 1 39 1 1 1 1 1 1 12 2 1 1 1 27 3 1 1 8 4 1 39 1 1 1 1 3 1 8 39 1 1 1 2 1 1 9 4 10 1 1 4 8622951.055071143 7.497997281570385E7 8.789512186257491 0.0025742460734558435 0.0 
1 39 1 1 4 5 3 1 1 1 1 1 7 1 1 15 5 1 24 1 4 14 1 13 3 10 5 2 14 1 14 20 4 1 10 1 3 1 1 2 39 1 38 2 1 1 5 1 9 29 5 6 12 1 1 3 1 1 1 1 39 1 1 6 5 4 7 1 39 1 1 1 10 1 9 11 1 3 1 1 1 8782016.822873779 8.391766087148553E7 7.609736401529163 0.002845362410309704 0.0 
