Tue Jun  4 12:23:36 2013, (0 clock):	Start log file
Tue Jun  4 12:23:36 2013, (0 clock):	Parameters loaded.
Tue Jun  4 12:23:36 2013, (0 clock):	controls:
  bounds:
    - 40
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Tue Jun  4 12:30:23 2013, (384140000 clock):	103000 evaluated; 0 wrong controls; 103000 violate mass constrain.
Tue Jun  4 12:30:26 2013, (387850000 clock):	104000 evaluated; 0 wrong controls; 104000 violate mass constrain.
Tue Jun  4 12:30:30 2013, (391400000 clock):	105000 evaluated; 0 wrong controls; 105000 violate mass constrain.
Tue Jun  4 12:30:34 2013, (394990000 clock):	106000 evaluated; 0 wrong controls; 106000 violate mass constrain.
Tue Jun  4 12:30:38 2013, (398550000 clock):	107000 evaluated; 0 wrong controls; 107000 violate mass constrain.
Tue Jun  4 12:30:42 2013, (402370000 clock):	108000 evaluated; 0 wrong controls; 108000 violate mass constrain.
Tue Jun  4 12:30:46 2013, (405990000 clock):	109000 evaluated; 0 wrong controls; 109000 violate mass constrain.
Tue Jun  4 12:30:49 2013, (409680000 clock):	110000 evaluated; 0 wrong controls; 110000 violate mass constrain.
Tue Jun  4 12:30:53 2013, (413250000 clock):	111000 evaluated; 0 wrong controls; 111000 violate mass constrain.
Tue Jun  4 12:30:57 2013, (416850000 clock):	112000 evaluated; 0 wrong controls; 112000 violate mass constrain.
Tue Jun  4 12:31:01 2013, (420440000 clock):	113000 evaluated; 0 wrong controls; 113000 violate mass constrain.
Tue Jun  4 12:31:04 2013, (424030000 clock):	114000 evaluated; 0 wrong controls; 114000 violate mass constrain.
Tue Jun  4 12:31:08 2013, (427660000 clock):	115000 evaluated; 0 wrong controls; 115000 violate mass constrain.
Tue Jun  4 12:31:12 2013, (431270000 clock):	116000 evaluated; 0 wrong controls; 116000 violate mass constrain.
Tue Jun  4 12:31:16 2013, (434870000 clock):	117000 evaluated; 0 wrong controls; 117000 violate mass constrain.
Tue Jun  4 12:31:20 2013, (438470000 clock):	118000 evaluated; 0 wrong controls; 118000 violate mass constrain.
Tue Jun  4 12:31:24 2013, (442080000 clock):	119000 evaluated; 0 wrong controls; 119000 violate mass constrain.
Tue Jun  4 12:31:27 2013, (445690000 clock):	120000 evaluated; 0 wrong controls; 120000 violate mass constrain.
Tue Jun  4 12:31:31 2013, (449390000 clock):	121000 evaluated; 0 wrong controls; 121000 violate mass constrain.
Tue Jun  4 12:31:35 2013, (453030000 clock):	122000 evaluated; 0 wrong controls; 122000 violate mass constrain.
Tue Jun  4 12:31:39 2013, (456620000 clock):	123000 evaluated; 0 wrong controls; 123000 violate mass constrain.
Tue Jun  4 12:31:43 2013, (460230000 clock):	124000 evaluated; 0 wrong controls; 124000 violate mass constrain.
Tue Jun  4 12:31:46 2013, (463900000 clock):	125000 evaluated; 0 wrong controls; 125000 violate mass constrain.
Tue Jun  4 12:31:50 2013, (467560000 clock):	126000 evaluated; 0 wrong controls; 126000 violate mass constrain.
Tue Jun  4 12:31:54 2013, (471220000 clock):	127000 evaluated; 0 wrong controls; 127000 violate mass constrain.
Tue Jun  4 12:31:58 2013, (474980000 clock):	128000 evaluated; 0 wrong controls; 128000 violate mass constrain.
Tue Jun  4 12:32:02 2013, (478630000 clock):	129000 evaluated; 0 wrong controls; 129000 violate mass constrain.
Tue Jun  4 12:32:06 2013, (482290000 clock):	130000 evaluated; 0 wrong controls; 130000 violate mass constrain.
Tue Jun  4 12:32:10 2013, (485930000 clock):	131000 evaluated; 0 wrong controls; 131000 violate mass constrain.
Tue Jun  4 12:32:14 2013, (489540000 clock):	132000 evaluated; 0 wrong controls; 132000 violate mass constrain.
Tue Jun  4 12:32:18 2013, (493270000 clock):	133000 evaluated; 0 wrong controls; 133000 violate mass constrain.
Tue Jun  4 12:32:22 2013, (496910000 clock):	134000 evaluated; 0 wrong controls; 134000 violate mass constrain.
Tue Jun  4 12:32:25 2013, (500570000 clock):	135000 evaluated; 0 wrong controls; 135000 violate mass constrain.
