Tue Jul  9 13:59:21 2013, (0 clock):	Start log file
Tue Jul  9 13:59:21 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:21 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 14:34:41 2013, (2100330000 clock):	84000 evaluated; 0 wrong controls; 75365 violate mass constrain.
Tue Jul  9 14:35:08 2013, (2127510000 clock):	85000 evaluated; 0 wrong controls; 76162 violate mass constrain.
Tue Jul  9 14:35:35 2013, (2153780000 clock):	86000 evaluated; 0 wrong controls; 77001 violate mass constrain.
Tue Jul  9 14:35:58 2013, (2176820000 clock):	87000 evaluated; 0 wrong controls; 78001 violate mass constrain.
Tue Jul  9 14:36:21 2013, (2199500000 clock):	88000 evaluated; 0 wrong controls; 78977 violate mass constrain.
Tue Jul  9 14:36:45 2013, (2223700000 clock):	89000 evaluated; 0 wrong controls; 79920 violate mass constrain.
Tue Jul  9 14:37:10 2013, (2248230000 clock):	90000 evaluated; 0 wrong controls; 80836 violate mass constrain.
Tue Jul  9 14:37:35 2013, (2273110000 clock):	91000 evaluated; 0 wrong controls; 81725 violate mass constrain.
Tue Jul  9 14:38:02 2013, (2300100000 clock):	92000 evaluated; 0 wrong controls; 82551 violate mass constrain.
Tue Jul  9 14:38:29 2013, (2326470000 clock):	93000 evaluated; 0 wrong controls; 83379 violate mass constrain.
Tue Jul  9 14:38:56 2013, (2352940000 clock):	94000 evaluated; 0 wrong controls; 84197 violate mass constrain.
Tue Jul  9 14:39:23 2013, (2379700000 clock):	95000 evaluated; 0 wrong controls; 85016 violate mass constrain.
